
WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,33,29,25,26,25,24,100,85,62,1011,1009,1007,10,7,2,19,3,,0.00,4,,231<br />
2013-1-2,33,29,24,26,25,24,100,83,53,1012,1010,1008,8,6,2,14,3,,0.00,2,Thunderstorm,239<br />
2013-1-3,33,29,24,27,26,25,100,85,57,1014,1012,1010,10,6,2,19,3,,0.00,1,,248<br />
2013-1-4,33,29,24,26,25,23,100,82,51,1014,1012,1010,10,7,1,23,5,,0.00,2,Thunderstorm,241<br />
2013-1-5,33,29,25,26,25,24,100,83,55,1013,1012,1009,10,8,1,19,3,,0.00,1,Thunderstorm,254<br />
2013-1-6,32,28,24,26,25,23,94,83,58,1013,1012,1009,10,9,5,14,3,,0.00,1,Thunderstorm,238<br />
2013-1-7,33,29,24,26,25,24,100,83,59,1014,1012,1010,10,8,3,14,3,,0.00,2,,207<br />
2013-1-8,31,28,25,25,25,24,94,83,66,1015,1012,1010,10,8,2,14,3,,0.00,3,,216<br />
2013-1-9,33,29,24,25,24,23,97,83,55,1013,1011,1009,10,8,2,14,3,,0.00,2,,205<br />
2013-1-10,33,29,24,26,24,22,100,80,47,1013,1011,1008,10,5,1,19,3,,0.00,3,,251<br />
2013-1-11,34,29,24,26,24,23,96,79,53,1012,1010,1007,6,3,2,14,2,,0.00,4,,220<br />
2013-1-12,33,29,25,26,25,24,100,84,54,1010,1009,1007,6,3,2,11,2,,0.00,3,,272<br />
2013-1-13,34,30,25,26,24,23,100,80,52,1011,1008,1005,6,4,2,19,2,,0.00,4,,228<br />
2013-1-14,35,30,25,26,25,23,100,79,54,1009,1008,1006,6,4,2,14,5,,0.00,2,,243<br />
2013-1-15,35,30,25,27,26,24,100,85,59,1011,1009,1007,7,5,2,14,3,,0.00,3,,215<br />
2013-1-16,33,29,26,27,26,25,100,85,63,1011,1009,1007,10,5,2,14,2,,0.00,5,,240<br />
2013-1-17,33,29,26,27,26,25,100,87,63,1013,1010,1008,10,6,1,14,3,,0.00,5,Thunderstorm,222<br />
