
CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-2-21,26,21,16,18,17,15,94,75,54,1025,1024,1022,10,9,9,19,8,,0.00,2,,3<br />
2000-2-22,24,20,17,17,15,13,88,74,50,1024,1023,1022,10,9,9,23,6,,0.00,2,,59<br />
2000-2-28,21,,21,17,17,17,78,78,78,1023,1023,1023,9,9,9,10,10,,0.00,1,,10<br />
2000-2-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2000-5-3,25,24,24,19,19,18,73,71,69,1018,1017,1017,9,9,9,19,18,,0.00,1,,70<br />
2000-5-4,29,26,22,20,18,16,83,66,45,1019,1018,1017,9,9,8,26,14,,0.00,4,Rain,81<br />
2000-5-5,28,24,21,20,18,17,88,68,58,1021,1019,1018,9,9,8,26,16,,0.00,3,,67<br />
2000-5-6,30,23,17,19,17,15,88,66,43,1020,1019,1017,10,9,8,26,11,,0.00,1,,66<br />
2000-5-7,30,23,17,19,17,16,94,73,48,1020,1018,1010,10,9,9,23,6,,0.00,2,,70<br />
2000-5-8,30,26,22,22,19,16,83,62,43,1018,1017,1015,9,9,9,23,13,42,0.00,3,,84<br />
2000-5-9,30,27,23,22,19,18,83,67,48,1017,1016,1014,9,9,6,21,11,,0.00,3,Rain,102<br />
2000-5-10,32,26,21,21,19,18,94,70,46,1018,1017,1016,10,9,7,21,5,,0.00,2,,79<br />
2000-5-11,32,26,19,21,19,18,94,74,43,1019,1017,1016,10,9,7,19,5,,0.00,1,,93<br />
2000-5-12,33,27,21,20,18,15,88,65,38,1018,1016,1015,9,9,9,23,11,,0.00,1,,92<br />
2000-5-13,31,26,20,20,18,16,94,68,43,1017,1016,1015,9,9,9,24,10,,0.00,1,,76<br />
2000-5-14,31,24,19,20,18,16,88,66,40,1018,1017,1016,10,9,7,23,8,,0.00,1,,52<br />
2000-5-15,31,26,20,20,19,17,88,74,43,1019,1017,1016,10,9,9,19,3,,0.00,1,,49<br />
2000-5-16,31,24,19,21,19,18,94,71,49,1018,1017,1016,9,9,9,19,6,,0.00,1,,9<br />
2000-5-17,27,21,20,20,19,18,94,86,65,1019,1017,1017,9,9,9,8,3,,0.00,1,,50<br />
2000-5-18,32,28,24,20,18,16,73,57,45,1021,1020,1019,10,10,9,29,21,,0.00,2,,68<br />
2000-5-19,30,26,21,19,18,16,83,64,48,1021,1019,1018,9,9,9,29,11,,0.00,2,,62<br />
2000-5-20,32,26,20,22,18,14,78,62,35,1019,1018,1016,10,9,9,29,11,,0.00,2,,92<br />
2000-5-21,31,24,19,19,16,13,78,58,35,1019,1018,1016,9,9,9,21,10,,0.00,1,,78<br />
2000-5-22,31,26,22,20,18,17,78,64,43,1018,1017,1016,9,9,9,19,10,,0.00,1,,143<br />
2000-5-23,30,25,20,20,19,17,88,64,48,1018,1016,1015,9,9,9,14,6,,0.00,2,,17<br />
2000-5-24,34,28,23,22,19,16,89,63,34,1018,1016,1015,10,9,5,16,5,,0.00,3,Rain,142<br />
2000-5-25,34,28,22,23,21,17,94,70,36,1019,1017,1015,9,8,3,24,5,,0.00,3,Rain-Thunderstorm,102<br />
2000-5-26,34,28,22,22,19,16,88,63,38,1018,1016,1015,9,9,7,24,10,,0.00,1,,86<br />
2000-5-27,34,29,24,22,21,18,89,66,41,1018,1017,1015,9,9,9,23,11,,0.00,1,,89<br />
2000-5-28,33,28,23,22,21,18,88,68,43,1017,1016,1014,10,9,9,23,8,,0.00,1,,65<br />
2000-5-29,31,26,22,21,20,16,88,71,43,1015,1014,1013,9,9,8,19,5,,0.00,2,,14<br />
2000-5-30,32,26,21,22,20,19,94,70,46,1019,1014,1013,10,9,7,19,5,,0.00,1,,28<br />
2000-5-31,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2000-6-9,21,,21,19,19,19,88,88,88,1019,1019,1019,9,9,9,3,3,,0.00,1,,130<br />
2000-6-10,29,27,25,21,21,19,78,67,55,1018,1017,1017,9,9,9,27,18,,0.00,4,,60<br />
2000-6-11,30,26,21,21,20,18,83,73,54,1020,1019,1018,9,8,7,11,6,,0.00,4,Rain-Thunderstorm,107<br />
2000-6-12,31,26,22,23,22,20,89,81,62,1021,1019,1019,9,9,8,19,10,,0.00,4,,88<br />
2000-6-13,29,26,23,23,22,21,94,83,66,1021,1019,1018,9,9,6,19,8,,0.00,4,Rain-Thunderstorm,73<br />
2000-6-14,27,24,22,22,22,20,94,85,65,1019,1018,1017,9,8,5,29,13,,0.00,4,Rain-Thunderstorm,98<br />
2000-6-15,32,27,23,22,22,20,94,67,49,1020,1017,1016,10,10,9,23,10,,0.00,2,Thunderstorm,91<br />
