
GET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,9,6,2,4,2,0,100,86,58,1027,1021,1017,10,5,0,14,6,,0.00,6,Fog,301<br />
2000-1-2,13,7,1,1,0,-1,87,62,44,1019,1017,1015,10,10,10,47,21,61,0.00,3,,292<br />
2000-1-3,8,6,3,4,3,-1,100,91,53,1019,1017,1015,10,4,0,11,8,,0.00,6,Fog,109<br />
2000-1-4,5,4,3,5,3,2,100,99,93,1017,1015,1014,6,2,0,11,5,,0.00,8,Fog-Rain,103<br />
2000-1-5,5,4,3,4,3,3,100,96,87,1017,1016,1014,10,7,2,6,3,,0.00,8,Rain,329<br />
2000-1-6,4,3,2,4,3,-4,100,96,65,1031,1017,1016,10,7,3,21,6,,0.00,8,Rain,346<br />
2000-1-7,9,6,2,4,-1,-3,100,70,43,1025,1021,1018,10,10,10,35,18,,0.00,5,,298<br />
2000-1-8,5,4,3,3,3,1,100,92,81,1029,1028,1026,10,9,5,11,5,,0.00,8,Rain,94<br />
2000-1-9,6,3,0,3,-1,-4,100,85,53,1028,1026,1024,10,8,5,14,8,,0.00,6,,120<br />
2000-1-10,3,1,0,0,-2,-5,93,80,56,1028,1027,1026,10,7,2,11,2,,0.00,8,,192<br />
2000-1-11,3,2,1,-1,-3,-5,87,71,56,1028,1027,1027,10,9,5,21,6,,0.00,8,Snow,288<br />
2000-1-12,3,1,0,1,0,-3,100,95,65,1030,1028,1027,6,2,0,6,2,,0.00,8,Fog-Snow,74<br />
2000-1-13,2,0,-1,2,0,-2,100,94,81,1032,1031,1030,10,5,1,6,2,,0.00,8,Fog-Snow,104<br />
2000-1-14,4,1,-1,0,-2,-5,100,83,56,1033,1031,1031,10,9,4,6,3,,0.00,8,,343<br />
2000-1-15,3,1,0,0,-1,-3,100,89,65,1031,1028,1026,10,5,1,6,3,,0.00,8,Fog-Snow,92<br />
2000-1-16,4,0,-3,0,-4,-8,100,76,48,1025,1023,1021,10,8,1,32,10,,0.00,3,Snow,291<br />
2000-1-17,5,0,-4,-5,-6,-7,80,69,45,1022,1018,1014,10,10,10,11,5,,0.00,4,Snow,243<br />
2000-1-18,1,-3,-6,-5,-6,-7,93,78,60,1013,1009,1006,10,7,3,11,5,,0.00,6,,312<br />
2000-1-19,4,0,-3,-1,-4,-7,86,70,48,1008,1003,1000,10,6,3,47,11,,0.00,6,Rain,283<br />
2000-1-20,1,0,-1,1,-2,-5,100,86,70,1008,1005,1002,10,7,0,29,13,,0.00,8,Fog-Snow,308<br />
