
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,5,3,2,4,3,1,100,96,93,1028,1027,1026,10,10,10,26,16,,0.00,8,Rain-Snow,356<br />
2008-1-2,4,2,1,4,3,1,100,100,100,1026,1024,1023,10,9,1,37,13,,0.00,8,Rain-Snow,327<br />
2008-1-3,2,1,0,2,1,0,100,98,93,1031,1028,1025,10,7,1,34,27,,0.00,8,Rain-Snow,326<br />
2008-1-4,1,0,0,1,0,-1,100,97,93,1033,1032,1030,10,10,8,23,14,,0.00,8,Rain-Snow,18<br />
2008-1-5,0,-1,-2,-1,-2,-5,100,92,80,1035,1033,1032,10,10,8,34,24,,0.00,8,Snow,16<br />
2008-1-6,0,-2,-3,-2,-4,-9,100,85,51,1037,1036,1035,10,8,0,29,21,,0.00,7,Snow,9<br />
2008-1-7,-2,-6,-9,-2,-3,-9,100,99,93,1035,1032,1029,10,4,0,29,18,,0.00,8,Snow,334<br />
2008-1-8,-1,-6,-11,-1,-4,-11,100,99,93,1028,1026,1024,10,8,1,37,11,,0.00,6,Snow,299<br />
2008-1-9,-2,-6,-9,-2,-4,-10,100,96,93,1028,1027,1025,10,10,4,37,27,,0.00,5,Snow,310<br />
2008-1-10,-3,-6,-8,-3,-4,-8,100,97,93,1033,1029,1027,10,9,2,45,21,63,0.00,6,Snow,316<br />
2008-1-11,-1,-3,-7,-1,-3,-7,100,97,93,1036,1035,1033,10,7,0,40,29,,0.00,6,Fog-Snow,318<br />
2008-1-12,0,-3,-6,0,-2,-6,100,100,100,1038,1036,1035,10,7,1,14,8,,0.00,7,Snow,331<br />
2008-1-13,2,-3,-7,0,-2,-7,100,94,75,1039,1038,1037,10,9,0,14,8,,0.00,6,Fog-Snow,100<br />
2008-1-14,2,-1,-3,2,-1,-3,100,97,93,1038,1035,1033,10,7,0,23,10,,0.00,4,Fog,164<br />
2008-1-15,4,0,-3,-1,-3,-7,100,83,45,1033,1031,1030,5,2,1,23,14,,0.00,,Fog,192<br />
2008-1-16,3,-2,-7,2,-2,-7,100,97,80,1033,1031,1030,8,4,0,11,8,,0.00,3,Fog,329<br />
2008-1-17,2,-2,-5,2,0,-5,100,99,93,1037,1035,1033,10,9,0,14,8,,0.00,7,Fog,316<br />
2008-1-18,5,3,1,5,3,1,100,100,100,1037,1036,1035,10,10,10,26,11,,0.00,8,Rain,31<br />
2008-1-19,4,3,1,4,3,1,100,99,93,1035,1034,1033,10,10,10,26,19,,0.00,7,Rain,112<br />
2008-1-20,3,2,1,2,1,0,100,94,81,1033,1031,1029,10,10,10,19,10,,0.00,6,Snow,99<br />
2008-1-21,3,1,0,2,1,0,100,99,93,1030,1029,1027,10,10,10,11,6,,0.00,7,Snow,72<br />
2008-1-22,4,1,-1,3,2,-1,100,98,87,1027,1023,1021,10,9,8,29,13,,0.00,3,,172<br />
2008-1-23,7,3,0,7,4,0,100,99,93,1024,1022,1020,10,7,1,29,13,,0.00,5,Fog,148<br />
