
JST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,12,8,4,5,0,-2,87,59,43,1025,1024,1023,10,10,10,27,13,,0.00,5,Rain,337<br />
2000-1-2,11,6,1,2,-1,-2,81,64,43,1022,1018,1015,10,10,10,13,8,,0.00,2,,38<br />
2000-1-3,15,9,3,6,2,-2,87,60,36,1019,1015,1013,10,10,8,19,8,,0.00,3,,303<br />
2000-1-4,13,7,2,2,0,-1,81,59,41,1024,1021,1019,10,10,10,23,11,,0.00,1,,328<br />
2000-1-5,13,7,2,2,1,-1,87,62,41,1024,1022,1020,10,10,10,14,8,,0.00,3,,30<br />
2000-1-6,17,13,10,12,8,1,94,70,54,1019,1013,1010,10,9,4,23,14,,0.00,6,Rain-Thunderstorm,54<br />
2000-1-7,13,10,7,12,6,0,94,69,47,1019,1015,1010,10,8,3,26,11,,0.00,5,Rain,311<br />
2000-1-8,8,4,2,0,-1,-5,81,68,46,1023,1021,1019,10,10,10,14,10,,0.00,3,Rain,298<br />
2000-1-9,9,4,1,5,2,-2,87,76,58,1023,1020,1016,10,7,4,13,8,,0.00,6,Rain,23<br />
2000-1-10,13,10,7,8,5,2,93,75,62,1021,1016,1011,10,9,4,39,16,,0.00,6,Rain,330<br />
2000-1-11,9,7,4,2,-2,-4,76,53,43,1025,1024,1021,10,10,10,26,14,45,0.00,5,Rain,360<br />
2000-1-12,11,7,4,8,2,-2,82,66,54,1024,1019,1013,10,10,10,24,10,,0.00,6,Rain,63<br />
2000-1-13,14,12,10,12,10,8,100,88,77,1012,1007,1005,10,7,1,19,10,,0.00,6,Rain,45<br />
2000-1-14,12,9,6,8,3,0,87,65,44,1019,1015,1011,10,10,10,24,14,,0.00,3,Rain,325<br />
2000-1-15,11,6,2,4,2,0,87,69,50,1023,1021,1019,10,10,10,26,10,,0.00,3,,334<br />
2000-1-16,8,4,1,5,2,-2,93,79,57,1022,1019,1015,10,9,5,23,10,,0.00,6,Rain,348<br />
2000-1-17,13,9,6,6,2,-1,100,63,47,1015,1013,1011,10,10,6,21,10,,0.00,3,Rain,346<br />
2000-1-18,11,7,2,3,-1,-3,71,59,41,1016,1015,1013,10,10,10,27,16,,0.00,2,,341<br />
2000-1-19,11,4,-1,2,-2,-4,80,61,35,1015,1013,1011,10,10,10,19,10,,0.00,3,Rain,252<br />
2000-1-20,6,3,0,-3,-9,-13,57,41,29,1023,1019,1014,10,10,10,23,14,48,0.00,2,,269<br />
2000-1-21,4,1,-2,-2,-4,-9,87,67,52,1034,1028,1023,10,9,3,32,13,,0.00,4,Rain-Snow,323<br />
2000-1-22,6,3,0,-2,-4,-5,69,56,46,1035,1032,1029,10,10,10,13,8,,0.00,6,,18<br />
2000-1-23,6,3,2,5,3,-1,93,91,81,1029,1023,1019,9,5,3,16,11,,0.00,7,Rain-Snow,59<br />
2000-1-24,11,8,6,8,7,5,100,89,81,1021,1020,1019,10,5,3,16,5,,0.00,5,Rain,9<br />
2000-1-25,8,4,2,4,-1,-3,87,70,61,1020,1019,1018,10,10,9,24,16,,0.00,6,Rain,353<br />
2000-1-26,7,3,0,-1,-3,-7,87,71,42,1021,1019,1017,10,8,1,21,10,,0.00,5,Snow,27<br />
2000-1-27,4,1,-1,-2,-6,-8,87,62,45,1026,1023,1019,10,9,2,26,13,,0.00,3,Snow,340<br />
2000-1-28,7,2,-3,-3,-4,-6,80,60,39,1032,1030,1027,10,10,10,23,8,,0.00,3,,318<br />
2000-1-29,10,4,-2,-1,-3,-4,86,68,40,1033,1031,1030,10,10,10,13,8,,0.00,1,,294<br />
2000-1-30,7,3,0,5,1,-3,87,81,70,1029,1026,1024,10,9,5,10,5,,0.00,5,Rain,312<br />
2000-1-31,8,4,1,1,-3,-5,87,60,46,1028,1025,1023,10,10,8,32,18,,0.00,2,,320<br />
2000-2-1,6,3,1,-3,-4,-7,75,55,39,1029,1027,1025,10,10,10,21,11,,0.00,5,,331<br />
2000-2-2,11,6,1,-1,-2,-6,75,56,32,1026,1024,1023,10,10,10,14,8,,0.00,3,,299<br />
2000-2-3,9,4,0,-1,-2,-4,80,61,46,1025,1022,1020,10,10,10,14,6,,0.00,4,,267<br />
2000-2-4,8,4,2,-1,-3,-6,81,55,39,1027,1024,1019,10,10,10,32,18,52,0.00,3,Rain,316<br />
2000-2-5,10,4,-1,-2,-3,-4,80,63,40,1028,1025,1022,10,10,10,14,8,,0.00,2,,297<br />
2000-2-6,8,6,3,7,4,-2,100,87,61,1021,1014,1009,10,6,3,23,8,,0.00,7,Rain,36<br />
2000-2-7,8,6,3,5,1,-2,87,70,57,1014,1011,1007,10,10,10,16,10,,0.00,4,,326<br />
2000-2-8,5,2,-1,2,-6,-14,87,60,26,1006,1002,1000,10,8,1,29,13,61,0.00,4,Rain-Snow,273<br />
