
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-2-18,32,27,22,24,22,21,94,80,52,1015,1014,1013,10,10,10,14,10,,0.00,7,Rain,90<br />
2001-2-19,31,27,23,25,23,21,100,83,58,1015,1014,1013,10,10,0,14,3,,0.00,6,Fog,230<br />
2001-2-20,31,27,23,24,22,19,94,76,58,1016,1015,1013,10,10,8,23,10,,0.00,3,,107<br />
2001-2-21,34,27,19,24,21,19,100,74,49,1015,1012,1009,10,10,4,23,8,,0.00,3,Rain-Thunderstorm,73<br />
2001-2-22,31,27,23,23,22,21,94,80,62,1014,1012,1010,10,10,10,19,5,,0.00,5,Rain,328<br />
2001-2-23,34,28,23,24,23,21,94,76,49,1013,1011,1009,10,10,10,23,5,,0.00,3,,339<br />
2001-2-24,34,29,25,24,23,22,94,75,52,1014,1012,1010,10,10,10,34,5,,0.00,6,Thunderstorm,309<br />
2001-2-25,32,27,23,25,23,22,100,84,59,1015,1013,1012,10,9,0,23,6,,0.00,5,Rain-Thunderstorm,132<br />
2001-2-26,32,28,24,26,24,24,100,86,62,1016,1013,1011,10,9,6,34,8,,0.00,6,Rain,101<br />
2001-2-27,33,28,24,25,23,22,94,79,52,1018,1016,1010,10,10,10,37,19,,0.00,4,,107<br />
2001-2-28,33,29,25,23,22,20,89,74,55,1019,1016,1015,10,10,10,27,21,,0.00,3,,106<br />
2001-3-1,35,29,23,23,21,2,94,69,14,1016,1014,1013,10,10,10,14,8,,0.00,5,,85<br />
2001-3-2,35,29,23,24,22,20,100,72,47,1015,1014,1011,10,10,10,19,5,,0.00,3,Thunderstorm,347<br />
2001-3-3,33,28,23,24,22,21,94,76,58,1015,1014,1012,10,10,10,11,3,,0.00,6,Rain,352<br />
2001-3-4,35,29,23,24,23,21,94,74,49,1015,1013,1011,10,10,10,14,3,,0.00,3,,253<br />
2001-3-5,35,28,22,25,22,21,100,74,44,1013,1010,1007,10,10,10,19,5,,0.00,3,,119<br />
2001-3-6,35,29,23,25,22,21,94,80,49,1012,1009,1007,10,10,9,23,6,,0.00,6,Rain,325<br />
2001-3-7,29,26,23,24,23,22,100,87,70,1015,1013,1012,10,9,6,14,6,,0.00,5,Rain,240<br />
2001-3-8,30,27,24,24,23,22,94,84,66,1015,1013,1012,10,9,2,19,10,,0.00,5,Rain,116<br />
