
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,21,17,14,10,7,3,68,50,33,1021,1019,1016,10,10,10,53,34,,0.00,2,,167<br />
2001-1-2,27,17,8,13,8,4,77,49,24,1021,1019,1017,,,,26,14,,0.00,,,207<br />
2001-1-3,29,23,18,16,12,8,68,49,36,1018,1015,1013,,,,34,26,,0.00,,,216<br />
2001-1-4,31,24,18,16,13,12,68,57,33,1014,1011,1010,,,,26,21,42,0.00,,,230<br />
2001-1-5,30,23,17,17,14,12,88,64,33,1010,1009,1008,10,10,10,23,18,,0.00,6,,227<br />
2001-1-6,25,21,18,16,14,12,88,69,50,1016,1014,1010,10,10,10,47,24,,0.00,3,,195<br />
2001-1-7,30,24,19,16,14,13,78,58,37,1016,1013,1011,10,10,10,39,29,,0.00,1,,211<br />
2001-1-8,26,21,17,17,16,14,94,72,51,1011,1010,1009,10,10,8,37,27,,0.00,2,,213<br />
2001-1-9,24,20,17,17,14,11,94,72,47,1011,1010,1009,10,9,0,26,21,,0.00,5,Fog,217<br />
2001-1-10,23,20,17,17,15,14,88,79,65,1012,1009,1008,10,9,3,42,23,64,0.00,6,Rain,343<br />
2001-1-11,25,20,16,16,15,13,88,73,50,1012,1010,1008,10,10,10,27,13,,0.00,3,,342<br />
2001-1-12,25,20,16,16,14,12,94,70,44,1010,1007,1007,10,10,10,40,21,60,0.00,4,Rain,332<br />
2001-1-13,18,14,12,14,8,3,94,69,39,1020,1016,1011,10,9,8,26,18,,0.00,5,Rain,196<br />
2001-1-14,21,16,12,10,7,3,82,55,31,1020,1019,1018,10,10,10,26,10,40,0.00,4,,196<br />
2001-1-15,25,19,14,15,11,8,83,60,38,1019,1016,1014,10,10,10,37,16,,0.00,2,,200<br />
2001-1-16,24,20,17,15,13,10,88,68,41,1017,1015,1012,10,10,10,42,23,,0.00,1,,199<br />
2001-1-17,29,23,17,16,13,11,77,59,33,1017,1011,1007,10,10,10,26,19,,0.00,1,,215<br />
2001-1-18,23,19,16,16,13,8,94,65,43,1015,1010,1005,10,9,0,27,16,,0.00,4,Fog,299<br />
2001-1-19,23,19,15,13,10,8,88,58,41,1016,1015,1014,10,10,10,32,16,,0.00,2,,179<br />
2001-1-20,25,18,12,14,10,8,77,56,36,1019,1016,1015,10,10,10,27,11,,0.00,2,,212<br />
2001-1-21,24,21,18,16,14,13,83,66,50,1018,1016,1015,10,10,10,39,21,,0.00,2,,194<br />
2001-1-22,26,22,18,16,15,13,83,67,51,1014,1010,1009,10,10,10,37,21,,0.00,1,,220<br />
2001-1-23,25,21,17,16,14,12,83,69,50,1018,1012,1009,10,10,10,37,21,34,0.00,5,,196<br />
2001-1-24,23,19,16,12,9,9,72,54,41,1021,1019,1019,10,10,10,52,37,58,0.00,2,,172<br />
2001-1-25,29,22,15,13,11,8,67,49,29,1019,1016,1014,10,10,10,42,23,,0.00,1,,173<br />
2001-1-26,30,23,16,15,12,9,73,51,27,1014,1011,1009,10,10,10,29,14,,0.00,1,,203<br />
2001-1-27,31,23,15,16,14,12,83,61,31,1011,1009,1007,10,9,5,29,14,,0.00,2,Fog,227<br />
2001-1-28,26,22,18,17,15,12,88,69,51,1013,1012,1010,10,9,6,50,27,,0.00,2,Fog,190<br />
2001-1-29,29,23,18,15,13,12,83,59,37,1010,1009,1008,10,10,10,19,14,,0.00,1,,206<br />
2001-1-30,23,19,15,16,12,7,88,65,44,1017,1014,1010,10,10,4,37,16,,0.00,3,Rain,215<br />
2001-1-31,22,18,15,10,8,6,68,52,40,1017,1014,1012,10,10,10,37,24,,0.00,1,,191<br />
2001-2-1,22,17,13,16,11,9,88,65,43,1012,1010,1008,10,9,6,32,16,,0.00,3,Rain,285<br />
2001-2-2,21,18,16,16,12,7,94,70,43,1009,1007,1005,10,9,3,34,19,47,0.00,6,Rain,321<br />
2001-2-3,20,18,15,13,10,8,88,64,46,1019,1014,1009,10,10,8,26,14,,0.00,5,Rain,227<br />
2001-2-4,25,18,12,13,9,5,82,58,28,1019,1015,1012,10,10,10,27,13,,0.00,1,,207<br />
2001-2-5,29,20,12,16,13,8,88,65,27,1012,1010,1009,10,10,10,29,14,,0.00,1,,217<br />
2001-2-6,28,21,15,17,15,11,88,69,37,1014,1011,1009,10,10,10,29,14,,0.00,3,,218<br />
2001-2-7,25,22,19,17,16,12,88,71,53,1015,1014,1013,10,10,9,52,32,,0.00,3,,179<br />
2001-2-8,31,24,19,14,12,8,68,50,28,1013,1011,1009,10,9,5,50,40,69,0.00,1,,157<br />
2001-2-9,35,27,19,13,10,3,60,40,15,1011,1009,1006,10,7,5,42,29,,0.00,0,,174<br />
2001-2-10,33,24,17,17,13,11,88,57,26,1011,1010,1008,10,10,10,24,13,,0.00,1,,250<br />
2001-2-11,26,21,17,16,15,15,88,74,51,1013,1011,1009,10,9,3,34,23,,0.00,3,Fog,331<br />
2001-2-12,27,22,18,16,14,12,83,64,42,1012,1009,1008,10,10,10,24,8,,0.00,3,,320<br />
2001-2-13,21,18,16,15,12,8,88,66,46,1017,1015,1012,10,9,1,42,19,,0.00,3,Rain,211<br />
2001-2-14,28,21,14,11,8,3,63,46,20,1018,1015,1013,10,10,10,37,26,60,0.00,1,,180<br />
2001-2-15,32,23,16,13,11,6,77,56,20,1013,1012,1011,,,,27,19,,0.00,,,212<br />
2001-2-16,27,21,16,14,14,13,88,72,42,1014,1011,1010,10,10,10,48,26,66,0.00,1,,207<br />
2001-2-17,25,21,18,14,13,10,73,59,47,1014,1012,1012,10,10,5,55,45,77,0.00,2,,168<br />
2001-2-18,28,22,17,14,13,11,77,58,37,1013,1009,1006,10,10,10,40,23,60,0.00,1,,207<br />
2001-2-19,23,19,15,15,13,10,94,70,44,1017,1012,1008,10,10,7,26,10,,0.00,5,,197<br />
2001-2-20,26,21,16,15,13,12,88,65,42,1017,1016,1015,10,10,10,37,24,,0.00,2,,189<br />
2001-2-21,27,21,15,15,13,12,88,69,42,1015,1014,1012,10,10,10,29,19,,0.00,1,,221<br />
2001-2-22,25,20,16,17,15,13,94,76,50,1015,1013,1011,10,8,1,39,19,,0.00,4,Fog,202<br />
2001-2-23,24,20,17,15,13,12,88,68,50,1016,1015,1014,10,10,10,52,35,60,0.00,1,,181<br />
2001-2-24,29,22,16,15,12,9,82,60,29,1014,1012,1010,10,10,10,29,18,,0.00,1,,212<br />
2001-2-25,31,24,19,17,16,14,78,60,37,1012,1011,1010,10,10,10,34,27,,0.00,1,,198<br />
2001-2-26,30,23,17,17,16,15,88,67,43,1011,1010,1009,10,10,10,32,21,,0.00,1,,201<br />
2001-2-27,33,26,19,18,16,14,78,61,33,1010,1009,1008,10,10,10,26,14,,0.00,1,,220<br />
2001-2-28,34,26,17,17,15,13,78,60,32,1009,1008,1007,10,10,10,19,13,,0.00,1,,208<br />
2001-3-1,26,20,15,16,14,12,94,72,42,1010,1009,1009,10,6,1,16,10,,0.00,3,Fog,280<br />
2001-3-2,22,18,14,15,13,12,94,77,60,1013,1011,1009,10,8,0,27,14,,0.00,2,Fog,319<br />
2001-3-3,25,21,18,16,14,12,88,69,47,1016,1014,1013,10,10,6,27,14,,0.00,5,,289<br />
2001-3-4,24,19,15,16,14,12,94,77,47,1015,1014,1013,10,9,0,37,16,,0.00,3,Fog,202<br />
2001-3-5,28,21,15,16,14,12,88,71,39,1012,1010,1009,10,10,10,29,14,,0.00,1,,202<br />
2001-3-6,24,20,16,16,15,13,94,76,50,1015,1013,1011,10,9,3,39,21,,0.00,2,Fog,197<br />
2001-3-7,25,20,16,16,14,13,88,69,50,1014,1013,1012,10,10,10,34,24,,0.00,2,,205<br />
2001-3-8,24,19,15,15,13,12,88,67,47,1015,1014,1013,10,10,10,29,21,,0.00,1,,185<br />
2001-3-9,25,20,16,16,14,13,88,73,53,1013,1010,1009,10,10,10,34,19,,0.00,1,,209<br />
2001-3-10,26,20,15,16,14,13,88,73,47,1015,1014,1012,10,10,10,32,13,,0.00,1,,191<br />
2001-3-11,22,17,13,15,12,9,94,70,43,1015,1014,1013,10,9,2,24,11,,0.00,4,Fog,294<br />
2001-3-12,20,18,15,15,8,4,88,58,35,1021,1019,1015,10,10,6,40,19,61,0.00,3,Rain,179<br />
2001-3-13,28,17,7,11,6,-1,76,47,15,1019,1014,1010,10,10,10,37,18,,0.00,1,,205<br />
2001-3-14,27,21,15,15,12,7,88,63,42,1015,1012,1009,,,,27,13,,0.00,,,5<br />
2001-3-15,24,19,14,15,13,12,94,73,47,1019,1017,1015,10,10,10,32,13,,0.00,2,,201<br />
2001-3-16,24,19,15,16,14,13,94,79,53,1017,1016,1015,10,10,8,45,21,,0.00,3,,211<br />
2001-3-17,22,18,15,19,13,10,83,74,56,1017,1015,1014,10,10,10,55,39,76,0.00,2,,176<br />
2001-3-18,27,21,15,14,11,8,72,59,39,1018,1016,1014,10,10,10,53,35,72,0.00,1,,157<br />
2001-3-19,27,19,11,14,12,8,82,66,36,1016,1015,1014,10,10,10,35,14,,0.00,1,,218<br />
2001-3-20,24,20,17,13,12,11,73,62,50,1018,1016,1015,10,10,10,50,37,74,0.00,1,,168<br />
2001-3-21,29,22,16,13,12,11,77,61,35,1015,1012,1009,10,10,10,24,16,,0.00,1,,213<br />
2001-3-22,30,21,12,13,12,10,88,64,33,1011,1010,1008,10,10,10,19,10,,0.00,1,,291<br />
2001-3-23,25,18,12,13,12,11,94,77,44,1013,1012,1011,10,6,1,27,16,,0.00,4,Fog,332<br />
2001-3-24,22,18,14,15,13,12,94,79,57,1016,1014,1013,10,6,1,24,8,,0.00,5,Fog,336<br />
2001-3-25,22,18,15,15,13,11,94,74,50,1016,1015,1014,10,9,5,21,8,,0.00,4,Fog,237<br />
2001-3-26,25,18,11,14,12,9,94,72,44,1015,1014,1013,10,8,0,21,8,,0.00,1,Fog,316<br />
2001-3-27,25,19,14,16,14,12,88,78,57,1017,1016,1015,10,9,5,34,11,,0.00,4,,195<br />
2001-3-28,26,20,14,16,14,13,94,79,51,1018,1016,1015,10,7,1,26,13,,0.00,2,Fog,214<br />
2001-3-29,28,21,14,15,13,9,94,74,30,1018,1015,1013,10,10,8,23,16,,0.00,2,,205<br />
2001-3-30,24,18,12,16,12,9,94,75,56,1013,1011,1010,10,10,10,24,10,,0.00,5,,294<br />
2001-3-31,20,18,15,11,10,9,77,63,49,1017,1015,1013,10,10,10,47,26,64,0.00,3,,171<br />
2001-4-1,26,20,14,14,12,10,82,64,39,1013,1012,1011,10,10,10,16,11,,0.00,1,,230<br />
2001-4-2,19,16,13,15,13,10,94,81,68,1019,1015,1013,10,8,1,26,16,,0.00,5,Rain,280<br />
2001-4-3,21,16,11,13,11,9,88,73,46,1022,1021,1019,10,10,10,39,18,,0.00,1,,180<br />
2001-4-4,27,19,12,11,9,8,82,58,32,1022,1020,1017,10,10,10,32,19,,0.00,1,,195<br />
2001-4-5,30,21,13,13,12,10,82,61,33,1018,1016,1013,,,,19,13,,0.00,,,199<br />
2001-4-6,25,21,17,18,15,12,94,73,50,1013,1011,1007,10,9,6,23,13,,0.00,6,Rain,330<br />
2001-4-7,22,19,17,16,16,15,94,80,68,1010,1009,1008,10,9,4,27,21,42,0.00,6,Rain,4<br />
2001-4-8,19,18,17,16,16,15,94,86,83,1014,1011,1009,10,8,1,35,16,,0.00,7,Rain,349<br />
2001-4-9,21,18,15,16,15,14,94,86,68,1016,1014,1013,10,8,5,24,16,,0.00,5,Rain,335<br />
2001-4-10,21,18,15,15,14,12,100,80,56,1017,1016,1015,10,8,1,21,10,,0.00,5,Fog-Rain,274<br />
2001-4-11,24,19,14,14,13,12,94,76,47,1017,1015,1014,10,10,8,16,13,,0.00,1,,216<br />
2001-4-12,21,16,12,16,13,10,94,81,64,1017,1015,1012,10,8,3,34,10,,0.00,4,Fog,167<br />
2001-4-13,22,19,16,15,13,11,88,71,53,1021,1019,1017,10,10,10,48,40,66,0.00,3,,165<br />
2001-4-14,28,22,15,11,7,2,68,46,19,1018,1016,1013,10,10,10,34,26,,0.00,1,,156<br />
2001-4-15,26,19,13,13,11,8,94,65,39,1017,1013,1011,10,9,8,21,13,,0.00,4,,214<br />
2001-4-16,22,18,14,14,13,11,94,77,60,1019,1018,1016,10,10,10,27,11,,0.00,4,,187<br />
2001-4-17,24,19,14,14,13,12,94,76,50,1019,1017,1016,10,10,10,21,16,,0.00,1,,229<br />
2001-4-18,31,21,12,14,11,9,88,61,27,1016,1013,1012,10,10,10,19,6,,0.00,1,,153<br />
