
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,23,20,17,16,14,12,78,68,61,1020,1018,1016,24,20,10,19,6,,0.00,7,,334<br />
2001-1-2,24,20,16,15,13,11,73,65,56,1021,1019,1018,24,16,8,23,8,,0.00,7,,15<br />
2001-1-3,23,20,17,15,13,4,73,63,42,1022,1019,1012,24,17,10,26,19,,0.00,7,,357<br />
2001-1-4,26,23,19,17,15,12,83,61,44,1020,1019,1016,32,18,10,26,19,,0.00,3,,353<br />
2001-1-5,27,22,18,17,15,11,83,59,47,1019,1017,1014,32,22,10,23,13,,0.00,1,,325<br />
2001-1-6,28,22,17,18,16,12,73,61,51,1017,1015,1013,32,21,16,19,8,,0.00,4,,306<br />
2001-1-7,26,20,14,17,16,11,83,68,51,1016,1014,1012,32,25,16,19,8,,0.00,5,,322<br />
2001-1-8,26,20,15,17,15,11,83,68,50,1017,1014,1012,32,21,13,19,6,,0.00,6,,232<br />
2001-1-9,27,21,15,15,13,10,77,55,39,1017,1014,1012,32,30,16,19,11,,0.00,1,,240<br />
2001-1-10,23,16,8,15,12,4,76,66,53,1020,1018,1016,32,26,16,27,14,,0.00,2,,9<br />
2001-1-11,24,16,8,16,13,4,83,70,57,1020,1017,1015,24,21,13,19,11,,0.00,4,,298<br />
2001-1-12,25,18,12,15,13,7,82,65,50,1018,1016,1015,24,19,13,19,11,,0.00,6,,182<br />
2001-1-13,23,16,8,16,13,7,93,70,60,1019,1017,1016,32,24,13,26,16,,0.00,4,,8<br />
2001-1-14,21,19,17,15,14,13,82,71,60,1019,1017,1015,24,17,10,26,19,,0.00,8,,3<br />
2001-1-15,23,19,14,14,13,11,82,68,57,1017,1015,1014,32,21,10,19,8,,0.00,5,,325<br />
2001-1-16,25,18,10,15,11,6,82,63,44,1017,1015,1013,32,21,10,19,11,,0.00,4,,238<br />
2001-1-17,22,16,10,13,10,6,77,62,46,1019,1016,1014,32,20,10,14,10,,0.00,5,,291<br />
2001-1-18,20,17,14,12,10,7,82,63,52,1020,1019,1017,32,18,13,29,11,,0.00,3,,360<br />
2001-1-19,22,18,14,13,11,8,73,59,46,1020,1018,1016,32,29,16,29,19,,0.00,0,,355<br />
2001-1-20,22,14,8,14,12,5,82,68,60,1021,1020,1019,32,30,24,29,11,,0.00,4,,350<br />
2001-1-21,23,17,10,14,13,6,82,66,57,1022,1020,1019,24,24,24,23,11,,0.00,5,,340<br />
