
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2008-1-1,19,13,8,11,8,4,82,63,45,1027,1023,1020,30,30,30,21,10,,0.00,1,,161<br />
2008-1-2,22,18,14,14,12,4,82,66,45,1020,1017,1015,30,30,30,40,26,,0.00,2,,11<br />
2008-1-3,22,19,17,14,14,14,82,72,60,1015,1013,1011,30,29,20,53,40,69,0.00,4,,5<br />
2008-1-4,18,17,15,14,11,10,88,71,68,1024,1022,1016,30,29,20,32,23,47,0.00,5,,161<br />
2008-1-5,24,18,12,15,13,10,88,69,47,1025,1024,1022,,,,34,16,45,0.00,1,,7<br />
2008-1-6,23,20,18,17,16,14,94,77,60,1023,1021,1019,30,25,20,37,31,,0.00,5,Rain,5<br />
2008-1-7,21,19,18,18,17,16,94,86,73,1019,1014,1011,30,10,4,47,32,74,0.00,6,Rain,350<br />
2008-1-8,20,18,15,19,17,14,100,94,88,1012,1010,1007,20,9,1,39,26,60,0.00,6,Rain,344<br />
2008-1-9,24,19,15,19,15,5,100,86,29,1012,1011,1008,30,7,2,42,13,,0.00,5,Rain,265<br />
2008-1-10,17,16,13,15,11,6,94,73,55,1024,1017,1009,30,20,15,47,31,,0.00,4,Rain,160<br />
2008-1-11,18,14,12,10,8,6,67,61,48,1026,1024,1021,30,27,20,35,24,,0.00,1,,170<br />
2008-1-12,21,18,15,15,12,8,83,68,49,1021,1018,1014,30,28,25,50,27,76,0.00,2,,5<br />
2008-1-13,19,18,18,17,16,15,88,85,83,1018,1016,1015,20,15,8,40,31,47,0.00,6,,8<br />
2008-1-14,22,20,18,16,15,14,88,77,64,1016,1014,1012,30,22,15,55,39,89,0.00,6,,356<br />
2008-1-15,21,19,18,18,17,15,94,83,73,1015,1013,1012,30,21,3,42,34,60,0.00,6,Rain,360<br />
2008-1-16,20,18,15,16,15,13,94,83,73,1017,1015,1012,30,30,30,26,11,,0.00,2,,8<br />
2008-1-17,23,20,17,16,14,13,88,75,53,1012,1007,1002,20,17,15,47,26,,0.00,2,,353<br />
2008-1-18,19,17,16,14,12,11,82,72,60,1022,1015,1009,30,21,15,45,35,,0.00,3,,163<br />
2008-1-19,19,17,15,11,10,8,72,63,52,1028,1026,1023,30,30,30,39,23,52,0.00,2,,140<br />
2008-1-20,25,20,16,14,11,9,68,57,41,1028,1022,1018,30,30,30,26,11,,0.00,3,,67<br />
2008-1-21,26,21,17,20,16,14,88,73,57,1018,1013,1009,10,10,10,16,10,,0.00,5,Rain,26<br />
