
IST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2004-1-1,18,13,9,11,8,5,87,72,48,1018,1016,1014,9,8,4,21,10,,0.00,1,,164<br />
2004-1-2,20,14,9,7,5,1,76,54,28,1014,1010,1008,10,9,8,23,8,,0.00,3,,175<br />
2004-1-3,18,14,10,6,4,1,71,54,37,1015,1014,1011,9,9,9,21,13,,0.00,0,,171<br />
2004-1-4,21,13,7,6,3,-1,66,49,26,1016,1014,1012,,,,14,6,,0.00,,,168<br />
2004-1-5,20,16,11,13,6,-3,82,56,29,1016,1014,1012,10,10,10,27,11,,0.00,2,,184<br />
2004-1-6,19,14,10,11,9,6,88,72,45,1015,1013,1012,10,10,8,23,11,,0.00,3,Rain-Thunderstorm,191<br />
2004-1-7,15,13,10,10,7,4,82,70,51,1014,1011,1009,10,10,8,39,24,55,0.00,6,Rain-Thunderstorm,221<br />
2004-1-8,11,10,9,9,8,7,94,89,82,1018,1016,1014,10,8,5,24,18,,0.00,6,Rain,175<br />
2004-1-9,16,12,9,9,8,5,93,74,58,1019,1017,1015,10,10,9,27,16,,0.00,5,Rain,181<br />
2004-1-10,16,13,11,10,8,7,82,73,63,1017,1015,1014,10,10,9,19,13,,0.00,5,Rain,176<br />
2004-1-11,19,14,11,8,6,4,82,58,37,1015,1014,1012,10,10,10,26,11,,0.00,6,,153<br />
2004-1-12,15,13,11,9,7,2,82,66,47,1012,1010,1008,10,9,7,32,18,48,0.00,7,Rain,162<br />
2004-1-13,17,13,11,12,10,8,88,81,68,1013,1011,1007,10,10,8,35,19,53,0.00,6,Rain,192<br />
2004-1-14,17,13,11,13,10,8,88,81,68,1012,1010,1009,10,9,5,32,21,50,0.00,6,Rain,198<br />
2004-1-15,20,16,12,12,11,9,94,72,56,1015,1013,1012,10,9,6,26,14,,0.00,5,Rain,174<br />
2004-1-16,22,17,12,11,9,7,77,64,40,1016,1015,1014,10,10,10,16,8,,0.00,6,,162<br />
2004-1-17,19,14,10,13,10,8,88,76,64,1018,1016,1015,10,10,9,16,8,,0.00,4,Rain,154<br />
2004-1-18,18,14,10,10,8,6,88,71,45,1020,1019,1018,10,10,8,14,6,,0.00,2,,92<br />
2004-1-19,20,13,7,11,8,5,87,72,43,1021,1019,1017,9,9,8,16,5,,0.00,0,,295<br />
2004-1-20,18,13,9,13,9,7,87,77,59,1018,1017,1016,10,8,6,14,6,,0.00,3,,153<br />
2004-1-21,21,14,9,12,9,7,87,71,46,1017,1013,1008,10,8,4,13,5,,0.00,2,Rain,103<br />
2004-1-22,22,18,14,11,7,1,72,51,25,1007,1003,1001,10,5,1,40,16,60,0.00,5,Rain,180<br />
2004-1-23,15,13,11,7,4,1,67,54,41,1008,1005,1002,10,5,1,55,35,87,0.00,6,Rain,221<br />
2004-1-24,15,12,9,5,3,1,71,56,50,1013,1011,1008,10,9,6,34,27,48,0.00,5,,193<br />
2004-1-25,17,12,8,12,4,1,77,55,34,1013,1011,1010,10,10,9,27,14,,0.00,6,Rain-Hail-Thunderstorm,167<br />
2004-1-26,15,12,9,9,7,3,87,72,54,1016,1014,1011,10,9,3,27,18,,0.00,6,Rain-Thunderstorm,206<br />
2004-1-27,16,13,11,10,8,3,88,71,54,1018,1015,1011,10,10,6,34,23,50,0.00,5,Rain,217<br />
2004-1-28,18,14,10,9,8,6,88,71,45,1020,1018,1017,10,10,10,13,8,,0.00,4,,117<br />
2004-1-29,21,16,11,10,6,3,77,54,35,1017,1014,1012,,,,23,10,,0.00,,,102<br />
2004-1-30,21,16,10,10,7,3,77,59,33,1019,1016,1013,10,10,9,23,6,,0.00,3,,186<br />
2004-1-31,18,14,12,13,9,6,94,73,52,1020,1018,1015,10,10,6,26,10,,0.00,4,Rain,203<br />
2004-2-1,15,12,9,10,8,7,88,78,63,1018,1016,1014,10,9,4,34,19,45,0.00,5,Rain-Hail-Thunderstorm,196<br />
2004-2-2,18,13,9,10,9,7,88,74,52,1021,1019,1018,10,10,10,16,10,,0.00,4,,192<br />
2004-2-3,15,12,10,9,8,6,82,76,67,1020,1019,1018,10,10,9,23,11,,0.00,4,Rain,175<br />
2004-2-4,17,13,10,10,7,5,82,67,45,1017,1014,1012,10,10,10,23,11,,0.00,6,,164<br />
2004-2-5,15,12,10,9,8,6,82,73,63,1019,1014,1011,10,10,9,23,13,,0.00,5,Rain,146<br />
2004-2-6,18,13,9,11,8,6,87,76,55,1025,1023,1019,10,10,9,21,10,,0.00,4,,186<br />
2004-2-7,18,14,10,12,11,8,88,81,68,1028,1026,1024,10,9,6,21,11,,0.00,3,,180<br />
2004-2-8,21,14,9,12,9,6,88,74,49,1028,1026,1023,9,7,5,11,3,,0.00,0,,338<br />
2004-2-9,21,14,9,14,11,6,88,77,60,1023,1020,1018,9,7,3,13,6,,0.00,0,,176<br />
2004-2-10,19,16,12,13,12,10,94,82,64,1018,1016,1013,9,5,0,19,8,,0.00,6,Fog,70<br />
2004-2-11,18,16,14,13,11,7,82,72,59,1019,1016,1014,10,9,7,29,13,,0.00,5,,255<br />
2004-2-12,18,14,10,10,8,7,82,70,52,1019,1017,1014,10,10,10,16,10,,0.00,3,,185<br />
2004-2-13,19,14,11,11,7,4,82,58,37,1013,1011,1010,10,10,10,37,16,48,0.00,4,Rain-Thunderstorm,198<br />
2004-2-14,14,10,7,9,4,0,87,69,47,1017,1014,1011,10,9,3,45,29,72,0.00,6,Rain-Hail-Thunderstorm,230<br />
2004-2-15,13,10,7,8,4,1,87,68,44,1022,1019,1014,10,10,8,52,31,71,0.00,6,Rain-Hail-Thunderstorm,246<br />
2004-2-16,17,13,9,10,7,5,82,70,52,1022,1021,1020,10,10,10,29,16,,0.00,5,,183<br />
2004-2-17,19,14,10,11,8,6,82,71,43,1021,1018,1014,10,10,10,16,8,,0.00,5,,91<br />
2004-2-18,20,14,9,11,8,4,82,68,46,1014,1012,1011,10,10,10,16,10,,0.00,3,Rain,188<br />
2004-2-19,15,13,11,11,10,8,88,83,67,1022,1018,1014,10,9,6,27,14,,0.00,6,Rain,195<br />
2004-2-20,17,13,9,10,9,7,93,76,52,1025,1024,1023,10,10,10,13,6,,0.00,4,,125<br />
2004-2-21,17,13,10,11,9,7,87,74,52,1022,1020,1016,10,10,9,26,11,,0.00,5,,209<br />
2004-2-22,15,12,9,11,4,0,82,61,47,1023,1020,1015,10,10,9,35,24,47,0.00,4,Rain,302<br />
2004-2-23,15,11,8,6,5,3,76,63,48,1024,1022,1021,10,10,10,14,8,,0.00,4,,22<br />
2004-2-24,26,17,9,13,8,5,82,57,28,1022,1019,1017,,,,14,5,,0.00,,,93<br />
2004-2-25,22,18,14,14,11,5,82,64,40,1022,1020,1017,10,8,6,24,11,,0.00,4,,220<br />
2004-2-26,21,16,11,13,10,8,88,72,43,1022,1021,1020,9,8,6,13,6,,0.00,2,,26<br />
2004-2-27,23,16,9,13,8,2,82,62,25,1020,1019,1017,9,9,8,11,5,,0.00,0,,18<br />
2004-2-28,30,21,12,10,6,0,77,42,17,1017,1016,1015,,,,23,6,,0.00,,,93<br />
2004-2-29,34,26,18,12,5,0,60,31,15,1015,1014,1012,,,,21,11,,0.00,,,128<br />
2004-3-1,30,23,16,15,9,3,73,51,20,1016,1015,1013,9,9,8,19,6,,0.00,0,,50<br />
2004-3-2,25,20,15,16,14,12,83,72,50,1016,1014,1013,9,6,3,13,5,,0.00,0,,235<br />
2004-3-3,34,26,17,15,11,3,83,48,15,1014,1011,1009,7,5,3,11,6,,0.00,,,144<br />
2004-3-4,36,28,20,8,4,0,46,23,10,1009,1007,1004,,,,24,10,,0.00,,,154<br />
2004-3-5,29,23,17,14,11,4,73,52,20,1014,1009,1002,9,4,3,32,16,42,0.00,8,Rain,229<br />
2004-3-6,17,14,11,13,9,5,88,71,48,1023,1019,1014,10,8,4,26,14,,0.00,6,Rain,254<br />
2004-3-7,16,13,12,8,6,3,77,60,42,1026,1024,1022,10,10,10,19,10,,0.00,5,,12<br />
2004-3-8,18,13,9,7,6,3,76,60,39,1026,1024,1022,10,10,10,26,10,,0.00,3,,22<br />
2004-3-9,17,12,8,10,8,6,87,72,59,1025,1024,1023,10,10,10,21,8,,0.00,3,,31<br />
2004-3-10,19,14,10,11,9,7,87,71,52,1024,1022,1021,10,9,7,19,6,,0.00,3,,83<br />
2004-3-11,21,16,10,12,8,4,82,64,35,1021,1019,1017,10,10,10,16,8,,0.00,3,,236<br />
2004-3-12,18,14,12,9,8,6,82,65,45,1020,1019,1017,10,10,10,16,8,,0.00,3,,162<br />
2004-3-13,18,14,11,11,9,8,94,73,56,1019,1018,1017,10,10,9,23,8,,0.00,4,Rain,39<br />
2004-3-14,18,14,10,9,7,5,88,67,42,1021,1020,1018,10,10,4,24,10,37,0.00,4,Rain,129<br />
2004-3-15,18,13,8,6,5,2,82,61,37,1025,1023,1021,10,10,10,26,11,,0.00,2,,97<br />
2004-3-16,19,13,8,6,4,-1,81,57,26,1026,1024,1021,10,10,10,23,8,,0.00,1,,55<br />
2004-3-17,18,12,7,8,6,3,77,63,39,1021,1018,1016,10,10,10,26,8,,0.00,2,,64<br />
2004-3-18,18,14,11,9,8,6,82,65,48,1019,1017,1017,10,10,9,21,8,34,0.00,4,,283<br />
2004-3-19,18,14,10,8,7,5,82,64,42,1023,1021,1018,10,10,10,23,11,,0.00,3,Rain-Thunderstorm,343<br />
2004-3-20,19,14,9,9,7,6,82,66,45,1023,1023,1022,10,10,10,24,8,,0.00,1,,54<br />
2004-3-21,23,16,9,9,7,3,82,56,27,1024,1022,1021,,,,23,8,,0.00,,,23<br />
2004-3-22,29,21,13,10,-2,-8,72,27,8,1022,1020,1018,,,,24,10,,0.00,,,87<br />
2004-3-23,32,24,17,6,-3,-10,35,16,10,1017,1014,1011,9,9,8,47,21,64,0.00,,,114<br />
2004-3-24,23,19,16,14,10,3,82,58,33,1019,1016,1011,10,10,9,24,11,,0.00,2,,236<br />
2004-3-25,21,17,13,13,12,10,88,75,60,1019,1018,1017,10,9,5,16,8,,0.00,3,,186<br />
2004-3-26,20,16,12,12,11,9,82,72,56,1018,1016,1015,10,9,6,23,8,,0.00,4,,13<br />
2004-3-27,27,19,12,15,13,3,88,65,31,1015,1013,1011,10,8,5,14,6,,0.00,4,,338<br />
2004-3-28,26,20,15,16,15,14,94,77,54,1014,1012,1011,9,5,0,16,6,,0.00,3,Fog,251<br />
2004-3-29,27,21,15,15,13,11,88,68,37,1014,1012,1011,9,7,3,16,10,,0.00,0,,220<br />
2004-3-30,25,21,17,15,12,6,83,60,29,1014,1013,1011,10,9,8,23,10,,0.00,6,,226<br />
2004-3-31,22,19,15,15,13,12,88,73,53,1015,1014,1012,10,9,6,23,11,,0.00,3,,226<br />
2004-4-1,26,20,14,13,11,4,88,59,30,1015,1012,1007,10,8,4,21,8,,0.00,1,,59<br />
2004-4-2,29,22,16,16,12,6,82,62,23,1013,1009,1002,10,7,2,37,19,55,0.00,6,,228<br />
2004-4-3,20,18,15,14,11,8,88,69,46,1013,1012,1011,10,9,6,24,11,39,0.00,6,,229<br />
2004-4-4,20,17,12,13,9,5,88,64,37,1019,1015,1012,10,10,10,23,11,,0.00,4,,2<br />
2004-4-5,22,16,10,9,5,-1,76,52,23,1019,1017,1015,10,10,10,23,8,,0.00,1,,340<br />
2004-4-6,21,16,10,12,8,4,77,64,33,1019,1016,1013,10,10,9,27,11,37,0.00,4,,200<br />
2004-4-7,20,16,12,11,9,8,82,66,46,1021,1020,1019,10,10,9,24,10,,0.00,2,,36<br />
2004-4-8,21,16,12,13,11,9,82,71,52,1020,1018,1017,10,10,10,26,10,,0.00,3,,3<br />
2004-4-9,24,20,16,15,13,10,77,67,50,1017,1015,1013,10,9,7,23,8,,0.00,5,,352<br />
2004-4-10,26,19,12,15,13,10,94,69,36,1016,1014,1013,10,6,0,16,8,,0.00,1,Fog,208<br />
2004-4-11,27,20,13,13,8,3,72,49,25,1018,1016,1015,10,8,7,21,6,,0.00,0,,321<br />
2004-4-12,26,19,13,14,8,4,55,46,34,1018,1017,1015,10,10,10,19,8,,0.00,1,,211<br />
2004-4-13,28,20,13,15,11,5,83,55,30,1016,1015,1013,10,8,6,14,8,,0.00,0,,248<br />
2004-4-14,28,21,14,15,9,1,83,48,21,1015,1014,1013,9,7,5,23,8,,0.00,1,,285<br />
2004-4-15,23,19,16,15,11,5,73,61,36,1016,1015,1013,10,10,9,19,11,,0.00,5,,231<br />
2004-4-16,21,17,14,13,11,7,82,64,49,1017,1014,1013,10,10,10,45,21,,0.00,4,Rain,267<br />
2004-4-17,21,17,13,10,8,5,77,57,35,1017,1016,1015,10,10,10,19,10,,0.00,4,,13<br />
2004-4-18,26,18,11,9,6,-1,72,45,18,1015,1009,1004,,,,19,6,,0.00,,,8<br />
2004-4-19,24,20,17,14,11,5,77,57,29,1009,1003,999,10,10,10,39,13,,0.00,5,Rain,276<br />
2004-4-20,24,19,15,14,12,10,82,66,41,1012,1010,1008,10,10,9,19,10,,0.00,4,,216<br />
2004-4-21,28,22,17,14,11,8,77,57,34,1010,1008,1004,10,9,9,34,11,52,0.00,1,,1<br />
2004-4-22,23,19,16,14,12,6,82,64,33,1009,1007,1005,10,10,10,26,11,,0.00,4,Rain,202<br />
2004-4-23,21,17,13,11,10,8,77,63,43,1011,1009,1007,10,10,10,26,11,,0.00,3,,223<br />
2004-4-24,21,17,14,12,11,9,82,64,46,1015,1013,1011,10,10,10,23,11,,0.00,3,,217<br />
2004-4-25,23,18,13,13,11,8,82,63,38,1015,1013,1011,10,10,10,21,10,,0.00,1,,30<br />
2004-4-26,33,23,13,11,6,0,77,41,12,1011,1007,1005,9,9,9,26,8,,0.00,,,56<br />
2004-4-27,28,24,21,12,7,2,56,34,23,1014,1011,1006,9,6,4,24,11,,0.00,0,,250<br />
2004-4-28,32,24,18,10,7,1,56,36,14,1013,1011,1008,9,7,4,24,8,,0.00,0,,9<br />
2004-4-29,25,21,17,16,13,9,73,62,49,1010,1008,1007,10,9,8,26,10,,0.00,3,,320<br />
2004-4-30,22,19,16,13,12,10,82,64,49,1012,1011,1010,10,10,10,21,11,,0.00,3,,275<br />
2004-5-1,25,19,14,12,9,3,82,53,24,1011,1010,1008,10,10,10,26,8,,0.00,4,Rain,87<br />
2004-5-2,30,24,18,14,11,6,73,50,23,1010,1006,1002,10,10,10,27,11,,0.00,7,Rain,349<br />
2004-5-3,24,20,17,15,14,12,83,68,53,1014,1011,1010,10,9,6,27,11,,0.00,4,,222<br />
2004-5-4,23,20,18,15,14,13,83,69,53,1017,1015,1014,10,10,8,24,11,,0.00,4,,272<br />
2004-5-5,27,20,14,15,12,7,82,56,32,1017,1015,1013,10,10,10,23,8,,0.00,1,,7<br />
2004-5-6,38,28,18,14,8,1,73,36,10,1012,1010,1007,,,,29,8,,0.00,,,163<br />
2004-5-7,28,24,20,16,13,1,78,54,21,1015,1012,1008,9,7,6,24,11,,0.00,0,,267<br />
2004-5-8,29,23,17,16,12,4,83,56,20,1015,1013,1012,9,8,4,21,8,,0.00,1,,8<br />
2004-5-9,36,26,17,13,9,0,68,41,11,1013,1007,1000,9,5,3,19,8,,0.00,0,,33<br />
2004-5-10,41,30,20,17,10,2,78,38,9,1009,1003,999,9,5,1,29,11,48,0.00,0,,233<br />
