
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,,,,,,,,,,1022,1020,1017,8,3,0,10,2,,0.00,0,Fog,250<br />
2000-1-2,30,,30,19,19,19,51,51,51,1022,1019,1011,8,5,1,10,2,,0.00,1,,240<br />
2000-1-3,,,,,,,,,,1020,1017,1015,9,6,1,10,2,,0.00,0,Fog,200<br />
2000-1-4,,,,,,,,,,1019,1016,1015,8,8,8,13,11,,0.00,1,,213<br />
2000-1-5,,,,,,,,,,1019,1017,1015,10,6,0,11,3,,0.00,1,Fog,225<br />
2000-1-6,,,,,,,,,,1018,1016,1014,10,6,0,14,3,,0.00,1,Fog,263<br />
2000-1-7,,,,,,,,,,1019,1017,1016,8,3,1,3,0,,0.00,1,Fog,0<br />
2000-1-8,,,,,,,,,,1018,1016,1013,6,4,0,8,2,,0.00,2,Fog,245<br />
2000-5-4,,,,,,,,,,1017,1016,1014,10,9,6,19,6,,0.00,4,,236<br />
2000-5-5,,,,,,,,,,1018,1017,1015,10,8,4,23,6,,0.00,3,,250<br />
2000-5-6,,,,,,,,,,1018,1016,1014,10,10,10,14,3,,0.00,3,,112<br />
2000-5-7,,,,,,,,,,1019,1017,1014,10,6,2,0,0,,0.00,6,Rain-Thunderstorm,-1<br />
2000-5-8,,,,,,,,,,1017,1015,1012,10,9,4,16,5,,0.00,2,Rain,260<br />
2000-5-9,,,,,,,,,,1017,1015,1013,10,9,5,23,6,,0.00,2,,218<br />
2000-5-10,,,,,,,,,,1016,1014,1011,10,7,2,14,5,,0.00,5,,212<br />
2000-5-11,,,,,,,,,,1014,1012,1009,10,7,3,19,3,,0.00,3,,236<br />
