
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,9,4,-2,3,0,-3,87,72,30,1027,1023,1020,10,10,10,35,14,,0.00,2,,210<br />
2013-1-2,7,4,3,3,2,1,93,84,70,1031,1028,1023,10,10,10,27,16,,0.00,5,,322<br />
2013-1-3,10,7,3,4,3,1,100,81,54,1031,1029,1026,10,10,10,24,11,,0.00,8,,182<br />
2013-1-4,9,7,5,6,3,2,93,78,61,1026,1021,1017,10,9,8,29,21,,0.00,3,,186<br />
2013-1-5,9,6,2,6,4,1,100,88,63,1017,1010,1006,10,7,1,32,11,,0.00,5,Fog,183<br />
2013-1-6,7,3,-1,4,1,-2,100,88,71,1010,1008,1006,10,6,1,26,10,,0.00,6,,324<br />
2013-1-7,8,4,1,5,3,-1,100,90,76,1009,1007,1004,10,5,0,16,5,,0.00,6,Fog,228<br />
2013-1-8,8,6,3,7,5,2,100,88,71,1010,1004,1001,10,9,3,32,19,,0.00,7,,216<br />
2013-1-9,6,4,3,5,3,1,100,82,69,1011,1010,1008,10,9,3,37,19,,0.00,8,Rain,359<br />
2013-1-10,4,2,1,3,1,-1,100,88,68,1015,1011,1007,10,10,8,55,39,66,0.00,8,Rain-Snow,344<br />
2013-1-11,1,1,0,-1,-2,-4,93,85,65,1025,1021,1016,19,9,2,37,24,55,0.00,8,Snow,312<br />
2013-1-12,7,3,-1,2,-1,-3,93,73,53,1025,1024,1022,10,10,10,35,14,,0.00,,,214<br />
2013-1-13,9,6,3,1,-1,-4,87,64,38,1022,1016,1012,10,10,10,47,31,64,0.00,,,207<br />
2013-1-14,6,2,-1,3,1,-2,93,79,57,1027,1020,1014,10,10,10,45,21,63,0.00,7,Rain-Snow,320<br />
2013-1-15,3,1,0,0,-1,-3,93,78,55,1035,1032,1027,10,10,8,101,29,64,0.00,7,Snow,305<br />
2013-1-16,8,4,1,2,1,-1,87,74,53,1034,1030,1024,10,9,2,230,21,,0.00,1,,199<br />
2013-1-17,8,6,4,2,0,-5,87,68,43,1024,1015,1005,10,10,10,71,32,89,0.00,3,,195<br />
2013-1-18,8,4,2,3,2,-3,87,77,52,1019,1015,1007,10,10,10,37,24,55,0.00,5,,304<br />
2013-1-19,10,6,1,7,3,-1,100,83,57,1019,1015,1010,10,3,0,37,11,55,0.00,6,Fog,193<br />
2013-1-20,16,9,2,4,2,-4,100,72,26,1013,1008,1004,10,7,0,230,23,55,0.00,4,Fog,287<br />
2013-1-21,11,7,4,5,3,2,93,81,54,1019,1016,1013,10,10,10,29,13,,0.00,5,,255<br />
2013-1-22,13,8,2,7,3,-81,100,78,45,1019,1015,1009,14,4,0,37,14,,0.00,4,Fog,181<br />
2013-1-23,13,8,4,6,4,2,100,76,50,1010,1008,1006,10,3,0,40,23,,0.00,7,Fog,285<br />
2013-1-24,13,8,3,7,6,4,100,83,58,1015,1011,1009,10,6,0,40,18,55,0.00,5,Fog,283<br />
2013-1-25,10,8,5,6,6,3,100,88,53,1017,1015,1012,10,8,1,27,16,,0.00,7,,304<br />
2013-1-26,7,6,4,6,4,3,93,86,62,1018,1012,1007,14,10,7,39,23,,0.00,7,Fog,303<br />
2013-1-27,8,6,4,6,5,3,100,92,74,1020,1017,1013,10,8,0,19,10,,0.00,8,Fog,122<br />
2013-1-28,10,8,6,7,6,4,100,86,71,1017,1013,1009,10,9,3,40,21,,0.00,6,,317<br />
2013-1-29,5,4,4,5,4,3,97,92,87,1017,1013,1009,10,10,8,39,31,,0.00,8,Rain,352<br />
2013-1-30,6,4,4,3,3,2,93,86,71,1014,1012,1009,10,10,10,34,23,,0.00,7,Rain,323<br />
2013-1-31,6,5,4,5,3,2,100,90,78,1015,1014,1011,10,9,3,19,10,,0.00,8,Rain,45<br />
2013-2-1,7,6,5,6,5,4,100,94,87,1012,1011,1009,10,8,2,23,10,,0.00,8,Rain,106<br />
2013-2-2,9,7,4,9,6,4,100,94,87,1016,1012,1011,10,9,2,42,13,61,0.00,8,Fog-Rain,242<br />
