
EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-1,-6,-9,-6,-11,-13,80,64,51,1044,1020,1016,16,16,16,14,10,,0.00,6,,325<br />
2013-1-2,-4,-8,-11,-8,-10,-13,92,76,68,1048,1024,1018,16,16,16,16,8,,0.00,6,,240<br />
2013-1-3,-1,-4,-8,-4,-9,-14,82,72,59,1022,1020,1017,16,14,10,23,16,37,0.00,7,,246<br />
2013-1-4,-2,-3,-4,-5,-7,-9,80,71,61,1023,1020,1016,16,16,14,34,21,48,0.00,3,,245<br />
2013-1-5,1,-4,-8,-1,-5,-9,93,84,72,1027,1022,1017,16,10,4,23,11,,0.00,4,Snow,224<br />
2013-1-6,2,1,1,1,-1,-4,100,84,70,1025,1017,1013,16,13,5,23,16,34,0.00,8,Rain-Snow,264<br />
2013-1-7,2,0,-1,-2,-4,-6,85,73,64,1029,1026,1022,16,16,14,34,11,50,0.00,3,,227<br />
2013-1-8,2,-1,-3,-3,-4,-6,84,77,70,1025,1024,1022,13,11,8,16,13,,0.00,0,,207<br />
2013-1-9,8,4,0,0,-3,-7,82,62,37,1031,1022,1017,16,16,13,37,19,53,0.00,1,,246<br />
2013-1-10,4,0,-3,1,-2,-5,89,79,60,1036,1032,1024,16,16,13,14,8,,0.25,1,Rain,122<br />
2013-1-11,13,7,2,10,5,1,100,92,74,1022,1013,1008,16,12,4,27,13,42,17.53,6,Rain,160<br />
2013-1-12,15,11,8,11,8,7,97,85,69,1014,1012,1011,16,15,5,21,13,27,0.00,0,,205<br />
2013-1-13,10,6,1,9,4,2,100,92,81,1017,1011,1007,16,13,4,24,13,37,18.03,8,Rain,329<br />
2013-1-14,0,-2,-5,-3,-9,-10,92,67,56,1031,1027,1018,16,16,16,23,14,37,0.00,4,,302<br />
2013-1-15,-1,-4,-8,-7,-8,-10,86,74,54,1031,1028,1022,16,16,14,13,2,,0.00,0,,170<br />
2013-1-16,3,-1,-4,-4,-7,-9,85,64,41,1021,1014,1010,16,16,13,26,8,47,0.00,4,,257<br />
2013-1-17,2,-2,-7,-3,-7,-17,79,62,44,1027,1021,1015,16,16,16,27,14,40,0.00,5,,312<br />
2013-1-18,3,-3,-9,-6,-11,-16,71,59,50,1032,1026,1015,16,16,16,40,14,55,0.00,3,,230<br />
2013-1-19,8,5,2,1,-2,-6,70,58,51,1015,1010,1002,16,16,16,35,29,58,0.00,1,,230<br />
2013-1-20,7,-1,-8,1,-13,-16,68,52,38,1047,1020,1001,16,16,16,47,31,85,0.00,6,,286<br />
2013-1-21,-7,-11,-14,-10,-15,-22,81,65,45,1045,1019,1014,16,13,0,29,14,45,0.00,6,Fog-Snow,286<br />
2013-1-22,-12,-14,-17,-18,-22,-26,70,56,46,1026,1025,1021,16,16,16,26,16,37,0.00,4,,285<br />
2013-1-23,-8,-12,-15,-12,-16,-21,84,68,51,1026,1023,1019,16,13,5,23,13,27,0.00,7,Snow,251<br />
2013-1-24,-6,-9,-11,-12,-15,-19,85,66,38,1036,1031,1021,16,14,4,23,11,34,0.00,3,Snow,353<br />
2013-1-25,-7,-8,-9,-9,-11,-14,88,77,60,1043,1023,1016,16,10,3,16,8,,0.25,8,Snow,172<br />
2013-1-26,8,-1,-10,-8,-9,-12,93,68,27,1048,1028,1017,16,14,10,16,6,26,0.00,6,,295<br />
2013-1-27,-2,-3,-4,-3,-6,-9,93,83,64,1032,1027,1021,16,10,1,29,8,39,7.62,5,Fog-Rain-Snow,164<br />
2013-1-28,8,3,-1,7,3,-3,100,94,86,1021,1015,1011,16,8,1,24,14,32,4.83,8,Fog-Rain,212<br />
2013-1-29,14,8,2,12,9,2,100,96,87,1016,1009,999,16,7,0,24,11,35,14.22,8,Fog-Rain,182<br />
2013-1-30,16,10,3,13,8,0,100,88,81,999,990,986,16,15,5,42,23,71,6.86,6,Rain,222<br />
2013-1-31,1,-4,-8,-3,-9,-14,93,73,53,1012,1004,991,16,11,1,45,27,74,0.00,8,Fog-Snow,272<br />
2013-2-1,-7,-10,-12,-12,-14,-17,80,66,50,1039,1024,1012,16,16,11,29,19,39,0.00,5,Snow,267<br />
2013-2-2,-6,-8,-11,-7,-11,-15,93,81,64,1024,1017,1014,16,8,1,24,16,45,0.25,8,Snow,240<br />
2013-2-3,-6,-9,-12,-7,-12,-16,93,75,57,1017,1013,1010,16,11,1,27,8,42,0.00,7,Fog-Snow,277<br />
2013-2-4,-7,-8,-9,-8,-10,-16,93,82,59,1042,1016,1012,16,9,2,13,6,,0.25,8,Snow,111<br />
2013-2-5,-2,-6,-9,-4,-8,-11,92,82,66,1037,1014,1010,16,13,2,21,8,29,0.00,7,Snow,220<br />
2013-2-6,-2,-6,-9,-4,-9,-11,88,73,58,1052,1023,1013,16,15,8,19,11,26,0.00,3,Snow,265<br />
2013-2-7,2,-1,-4,-3,-5,-8,84,75,67,1027,1021,1013,16,16,16,26,10,26,0.00,6,,110<br />
2013-2-8,-1,-2,-4,-2,-4,-8,100,87,72,1028,1014,1008,16,8,1,39,21,55,4.83,8,Fog-Rain-Snow,12<br />
2013-2-9,-2,-6,-10,-7,-9,-11,92,78,63,1055,1026,956,16,16,16,19,8,,0.00,0,,221<br />
2013-2-10,4,-2,-7,0,-4,-8,96,79,64,1026,1019,1007,16,16,13,21,10,,1.52,5,Rain,129<br />
2013-2-11,7,3,1,6,-2,-5,97,71,59,1011,1005,1001,16,16,16,52,27,74,0.00,8,,239<br />
2013-2-12,1,0,-2,-4,-6,-7,75,65,60,1018,1015,1012,16,16,14,27,19,42,0.00,8,,271<br />
2013-2-13,3,0,-3,-3,-6,-7,88,72,52,1014,1010,1007,16,16,13,14,8,,0.00,5,,219<br />
2013-2-14,4,1,-2,0,-2,-3,96,78,65,1010,1008,1005,16,11,3,32,14,50,0.51,6,Rain-Snow,212<br />
2013-2-15,2,-1,-4,-3,-8,-13,75,61,41,1020,1016,1011,16,16,10,24,14,39,0.00,7,Snow,295<br />
2013-2-16,-3,-6,-8,-6,-9,-12,93,75,51,1020,1017,1015,16,11,1,19,8,29,1.02,7,Snow,317<br />
2013-2-17,-5,-9,-12,-11,-15,-17,84,61,42,1047,1025,1018,16,16,10,21,11,29,0.00,2,Snow,321<br />
2013-2-18,7,-1,-9,0,-7,-14,81,67,54,1049,1021,1004,16,16,16,26,13,32,0.00,3,Rain,159<br />
2013-2-19,7,0,-7,4,-4,-13,96,77,59,1013,1004,997,16,13,3,40,29,58,2.29,8,Rain-Snow,239<br />
2013-2-20,-5,-7,-8,-11,-13,-15,78,63,50,1048,1024,1013,16,15,6,27,23,47,0.00,8,Snow,291<br />
2013-2-21,-4,-6,-7,-8,-11,-13,86,67,54,1030,1028,1025,16,16,14,21,14,35,0.00,7,,29<br />
2013-2-22,1,-2,-6,-1,-4,-8,100,90,74,1026,1016,1012,16,7,0,27,18,42,2.29,8,Fog-Snow,133<br />
2013-2-23,1,-2,-4,0,-5,-8,92,71,59,1013,1012,1011,16,16,13,24,18,34,0.00,7,,237<br />
2013-2-24,2,-1,-5,-4,-6,-7,88,74,59,1022,1017,1013,16,16,13,19,11,27,0.00,6,,278<br />
2013-2-25,3,-2,-7,-4,-6,-8,96,74,52,1024,1022,1021,16,16,11,14,5,,0.00,1,,115<br />
2013-2-26,2,0,-2,0,-2,-6,96,85,67,1020,1008,1000,16,9,2,35,21,48,16.76,5,Rain-Snow,77<br />
2013-2-27,2,1,1,1,0,-1,100,91,81,1002,1000,997,16,10,1,27,19,39,2.03,8,Fog-Rain-Snow,185<br />
2013-2-28,3,1,-1,1,-1,-4,96,85,70,1014,1006,1000,16,12,3,35,14,47,1.02,8,Snow,335<br />
2013-3-1,-1,-2,-3,-4,-7,-7,82,75,69,1020,1017,1014,16,16,16,26,19,40,0.00,8,,360<br />
2013-3-2,-2,-3,-4,-6,-7,-10,81,72,64,1019,1018,1016,16,15,8,21,14,35,0.00,8,Snow,344<br />
2013-3-3,-1,-3,-6,-8,-9,-11,86,68,51,1018,1017,1016,16,16,11,23,11,32,0.00,6,Snow,306<br />
2013-3-4,3,-3,-8,-6,-9,-11,88,67,36,1022,1020,1019,16,16,16,11,5,,0.00,0,,318<br />
