
GST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,23,18,14,12,8,2,82,56,32,1023,1020,1019,10,10,10,26,11,,0.00,3,,99<br />
2006-1-2,23,18,14,6,3,-1,51,37,24,1024,1022,1020,10,10,10,26,16,,0.00,3,,67<br />
2006-1-3,24,19,15,9,6,3,55,43,25,1023,1021,1019,,,,23,16,,0.00,,,55<br />
2006-1-4,24,19,15,7,6,3,55,41,29,1023,1021,1020,,,,24,18,,0.00,,,77<br />
2006-1-5,25,20,15,7,2,-2,45,33,17,1024,1022,1020,,,,27,16,,0.00,,,56<br />
2006-1-6,25,19,13,7,2,-6,51,35,13,1024,1021,1019,,,,24,14,,0.00,,,67<br />
2006-1-7,26,19,12,6,1,-12,51,32,8,1021,1019,1016,,,,19,11,,0.00,,,66<br />
2006-1-8,25,20,15,7,5,-1,59,39,18,1019,1017,1015,,,,24,13,,0.00,,,110<br />
2006-1-9,25,21,17,11,7,3,63,43,24,1017,1015,1014,,,,19,11,,0.00,,,162<br />
2006-1-10,27,21,15,13,9,3,72,49,21,1019,1016,1015,,,,21,10,,0.00,,,71<br />
2006-1-11,28,22,16,15,12,6,82,58,25,1019,1016,1014,10,9,8,21,10,,0.00,3,,62<br />
2006-1-12,29,23,18,16,11,1,68,49,18,1018,1015,1014,,,,21,11,,0.00,,,80<br />
2006-1-13,29,23,18,19,14,10,78,57,30,1017,1014,1012,,,,23,13,,0.00,,,103<br />
2006-1-14,31,24,19,20,15,10,83,59,29,1012,1010,1007,10,5,1,40,18,,0.00,3,,187<br />
2006-1-15,23,21,20,15,12,10,61,54,46,1015,1013,1010,10,10,10,29,23,,0.00,4,,281<br />
2006-1-16,22,20,19,11,8,5,56,45,37,1017,1015,1014,10,10,8,39,27,,0.00,3,,279<br />
