
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,,,,,,,,,,1004,1002,999,10,8,3,37,11,,0.00,3,,302<br />
2002-1-2,,,,,,,,,,1007,1005,1003,10,10,10,24,11,,0.00,4,,247<br />
2002-1-3,,,,,,,,,,1009,1008,1006,10,10,10,23,11,,0.00,3,,230<br />
2002-1-4,,,,,,,,,,1012,1010,1008,10,10,10,34,13,,0.00,3,,177<br />
2002-1-5,,,,,,,,,,1013,1011,1008,10,10,10,35,21,,0.00,6,Rain,117<br />
2002-1-6,,,,,,,,,,1011,1007,1004,10,9,3,34,14,,0.00,4,Rain-Thunderstorm,273<br />
2002-1-7,,,,,,,,,,1010,1008,1007,10,10,10,37,21,60,0.00,3,,282<br />
2002-1-8,,,,,,,,,,1015,1012,1011,10,10,10,23,11,,0.00,3,,196<br />
2002-1-9,,,,,,,,,,1019,1017,1015,10,10,10,42,18,,0.00,5,,127<br />
2002-1-10,,,,,,,,,,1021,1019,1017,10,10,10,40,24,,0.00,6,Rain,120<br />
2002-1-11,,,,,,,,,,1019,1017,1014,10,10,10,23,14,,0.00,6,Rain,128<br />
2002-1-12,,,,,,,,,,1017,1014,1010,10,10,10,24,11,,0.00,6,,108<br />
2002-1-13,,,,,,,,,,1011,1009,1007,10,10,10,29,10,,0.00,4,Rain,114<br />
2002-1-14,,,,,,,,,,1012,1008,1005,10,9,4,40,19,61,0.00,5,Rain-Thunderstorm,179<br />
2002-1-15,,,,,,,,,,1016,1013,1011,10,9,6,35,27,52,0.00,6,Rain,178<br />
2002-1-16,,,,,,,,,,1015,1014,1013,10,10,10,34,13,,0.00,3,,138<br />
2002-1-17,,,,,,,,,,1017,1016,1015,10,10,10,26,14,,0.00,3,,148<br />
2002-1-18,,,,,,,,,,1019,1017,1015,10,10,10,32,13,,0.00,3,,130<br />
2002-1-19,,,,,,,,,,1017,1014,1011,10,10,10,40,18,,0.00,1,,100<br />
2002-1-20,,,,,,,,,,1015,1012,1010,10,10,10,32,18,,0.00,3,,100<br />
2002-1-21,,,,,,,,,,1013,1012,1011,10,10,10,24,13,,0.00,5,,120<br />
2002-1-22,,,,,,,,,,1015,1013,1012,10,8,3,23,11,,0.00,6,Rain-Thunderstorm,113<br />
2002-1-23,,,,,,,,,,1014,1012,1010,10,10,10,26,6,,0.00,3,Rain-Thunderstorm,122<br />
2002-1-24,,,,,,,,,,1012,1010,1007,10,8,5,40,14,,0.00,7,Rain,109<br />
2002-1-25,,,,,,,,,,1009,1006,1004,10,9,7,37,16,,0.00,5,Rain,171<br />
2002-1-26,,,,,,,,,,1009,1007,1005,10,10,10,14,8,,0.00,6,,235<br />
2002-1-27,,,,,,,,,,1010,1006,1002,10,9,6,37,14,,0.00,7,Rain,25<br />
2002-1-28,,,,,,,,,,1007,1005,1004,10,10,10,32,13,,0.00,4,,280<br />
2002-1-29,,,,,,,,,,1010,1008,1006,10,10,10,27,6,,0.00,5,,101<br />
2002-1-30,,,,,,,,,,1011,1009,1007,10,10,10,26,11,,0.00,4,,116<br />
2002-1-31,,,,,,,,,,1008,1004,1002,10,9,4,23,13,,0.00,6,Rain-Thunderstorm,127<br />
2002-2-1,,,,,,,,,,1009,1008,1006,10,10,10,42,16,,0.00,4,,299<br />
2002-2-2,,,,,,,,,,1016,1014,1011,10,10,10,35,16,,0.00,3,,256<br />
2002-2-3,,,,,,,,,,1018,1016,1015,10,10,10,35,11,,0.00,3,,116<br />
2002-2-4,,,,,,,,,,1016,1013,1011,10,10,10,34,13,,0.00,2,,94<br />
2002-2-5,,,,,,,,,,1014,1012,1011,10,10,8,24,11,,0.00,5,Thunderstorm,162<br />
2002-2-6,,,,,,,,,,1015,1014,1013,10,8,3,29,10,,0.00,5,Rain-Thunderstorm,102<br />
2002-2-7,,,,,,,,,,1014,1012,1009,10,9,4,35,10,,0.00,6,Rain-Thunderstorm,105<br />
2002-2-8,,,,,,,,,,1010,1008,1006,10,10,7,40,11,,0.00,3,Rain-Thunderstorm,266<br />
2002-2-9,,,,,,,,,,1010,1008,1006,10,9,5,27,11,,0.00,5,Rain-Thunderstorm,17<br />
2002-2-10,,,,,,,,,,1009,1007,1004,10,10,5,37,8,61,0.00,5,Rain-Thunderstorm,299<br />
