
NPT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,,,,,,,,,,1019,1017,1015,8,4,0,14,3,,0.00,2,Fog,202<br />
2009-1-2,,,,,,,,,,1021,1018,1017,8,7,3,13,6,,0.00,1,,301<br />
2009-1-3,,,,,,,,,,1022,1019,1017,8,5,0,11,2,,0.00,1,Fog,229<br />
2009-1-4,,,,,,,,,,1020,1017,1015,8,5,0,13,3,,0.00,1,Fog,222<br />
2009-1-5,,,,,,,,,,1017,1016,1014,5,3,0,13,2,,0.00,4,Fog,317<br />
2009-1-6,,,,,,,,,,1019,1017,1016,10,5,0,14,3,,0.00,1,Fog,268<br />
2009-1-7,,,,,,,,,,1023,1021,1019,10,6,1,13,3,,0.00,1,Fog,281<br />
2009-1-8,,,,,,,,,,1025,1023,1021,10,6,1,16,3,,0.00,3,Fog,260<br />
2009-1-9,,,,,,,,,,1026,1023,1020,10,5,0,13,3,,0.00,1,Fog,264<br />
2009-1-10,,,,,,,,,,1025,1022,1019,10,6,1,19,5,,0.00,1,,270<br />
2009-1-11,,,,,,,,,,1023,1020,1018,10,6,2,19,5,,0.00,1,,282<br />
2009-1-12,,,,,,,,,,1025,1023,1021,8,5,1,14,3,,0.00,1,Fog,254<br />
2009-1-13,,,,,,,,,,1027,1025,1022,6,4,0,11,2,,0.00,1,Fog,264<br />
2009-1-14,,,,,,,,,,1026,1024,1021,6,4,0,10,2,,0.00,1,Fog,255<br />
2009-1-15,,,,,,,,,,1026,1023,1021,6,4,0,13,2,,0.00,2,Fog,264<br />
2009-1-16,,,,,,,,,,1025,1023,1020,7,4,0,11,2,,0.00,3,Fog,273<br />
2009-1-17,,,,,,,,,,1023,1021,1018,8,4,0,11,2,,0.00,3,Fog,243<br />
2009-1-18,,,,,,,,,,1022,1020,1018,8,4,0,13,2,,0.00,1,Fog,265<br />
2009-1-19,,,,,,,,,,1020,1017,1015,8,4,0,14,3,,0.00,3,Fog,265<br />
2009-1-20,,,,,,,,,,1019,1016,1013,8,5,0,14,3,,0.00,3,Fog,262<br />
2009-1-21,,,,,,,,,,1019,1017,1015,6,4,1,11,2,,0.00,3,,214<br />
2009-1-22,,,,,,,,,,1020,1017,1015,6,4,0,13,3,,0.00,1,Fog,249<br />
2009-1-23,,,,,,,,,,1018,1015,1013,7,3,0,14,3,,0.00,1,Fog,263<br />
2009-1-24,,,,,,,,,,1018,1016,1014,5,4,1,11,2,,0.00,4,Fog,225<br />
2009-1-25,,,,,,,,,,1020,1017,1015,5,3,1,11,2,,0.00,4,Fog,267<br />
2009-1-26,,,,,,,,,,1017,1015,1013,10,4,0,14,3,,0.00,2,Fog,288<br />
2009-1-27,,,,,,,,,,1018,1015,1013,10,7,3,16,2,,0.00,1,,268<br />
2009-1-28,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2009-1-29,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
