
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,33,27,21,19,18,16,88,62,40,1012,1010,1008,10,10,10,11,6,,0.00,1,,160<br />
2001-1-2,34,28,22,22,20,18,83,61,44,1011,1009,1007,10,10,10,19,8,,0.00,4,,131<br />
2001-1-3,36,30,25,23,22,21,83,64,41,1010,1008,1006,10,10,8,29,13,,0.00,2,,72<br />
2001-1-4,35,30,26,24,22,21,78,60,44,1015,1011,1008,10,9,6,27,18,,0.00,4,,53<br />
2001-1-5,34,30,26,25,23,21,79,65,49,1014,1011,1007,10,9,5,24,16,,0.00,6,,45<br />
2001-1-6,35,30,25,23,22,20,83,63,41,1009,1007,1003,10,10,10,37,23,,0.00,2,,31<br />
2001-1-7,36,31,27,22,21,18,74,56,34,1005,1003,1000,10,10,10,37,26,55,0.00,5,Snow,17<br />
2001-1-8,34,30,27,23,22,20,74,62,44,1006,1004,1002,10,9,6,47,23,64,0.00,6,,21<br />
2001-1-9,28,24,22,24,23,19,94,85,73,1009,1006,1004,10,9,6,37,19,64,0.00,5,Rain-Thunderstorm,89<br />
2001-1-10,33,27,21,23,22,18,89,74,55,1009,1005,1002,10,10,5,47,23,64,0.00,4,Rain-Thunderstorm,30<br />
2001-1-11,26,23,19,19,16,10,88,64,39,1016,1014,1008,10,10,10,40,31,48,0.00,6,,181<br />
2001-1-12,29,21,14,18,14,11,88,63,45,1016,1012,1009,10,10,8,19,10,,0.00,4,,165<br />
2001-1-13,31,26,21,22,21,19,94,75,51,1012,1010,1009,10,10,10,23,8,40,0.00,3,,36<br />
2001-1-14,29,26,23,24,22,20,94,81,62,1016,1014,1012,10,10,6,34,14,,0.00,5,Rain,48<br />
2001-1-15,32,27,23,23,22,20,100,70,49,1014,1012,1009,10,10,10,27,11,,0.00,3,,33<br />
2001-1-16,33,28,23,23,21,20,88,69,46,1013,1010,1008,10,10,8,37,16,,0.00,6,Rain-Thunderstorm,37<br />
2001-1-17,35,29,24,24,22,19,100,69,41,1013,1010,1008,10,10,10,34,18,,0.00,5,,35<br />
2001-1-18,36,29,23,22,21,19,88,61,37,1013,1011,1009,10,10,10,37,19,,0.00,3,,19<br />
2001-1-19,37,30,23,24,21,18,94,68,39,1015,1013,1011,10,9,5,37,16,55,0.00,7,Rain-Thunderstorm,127<br />
2001-1-20,29,24,21,22,20,18,88,76,55,1017,1014,1012,10,10,8,23,11,,0.00,6,Rain,165<br />
2001-1-21,34,28,22,24,21,20,88,71,44,1013,1011,1008,10,10,10,23,5,,0.00,3,Rain,35<br />
2001-1-22,34,28,22,23,22,20,100,73,46,1011,1010,1007,10,9,1,37,11,50,0.00,6,Rain-Thunderstorm,89<br />
2001-1-23,33,27,22,24,22,20,100,79,49,1014,1011,1009,10,10,10,19,6,,0.00,6,,100<br />
2001-1-24,35,29,24,24,22,20,89,74,44,1014,1012,1010,10,10,8,19,10,,0.00,6,Rain,56<br />
2001-1-25,35,30,25,24,23,21,89,71,47,1013,1011,1008,10,10,10,14,6,,0.00,5,,122<br />
