
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,24,21,18,18,16,13,88,73,53,1015,1011,1007,10,10,10,21,13,,0.00,3,,241<br />
2009-1-2,25,21,18,22,19,14,94,85,73,1015,1015,1014,10,9,5,26,11,,0.00,4,Rain,343<br />
2009-1-3,26,21,17,20,17,12,88,81,61,1016,1013,1012,10,10,8,40,18,,0.00,5,Rain,298<br />
2009-1-4,21,18,16,12,11,9,72,62,52,1021,1019,1017,10,10,10,29,24,,0.00,2,,210<br />
2009-1-5,21,17,13,13,11,10,94,70,56,1021,1020,1018,10,10,10,23,10,,0.00,1,,189<br />
2009-1-6,22,17,13,14,12,11,94,70,53,1019,1017,1016,10,10,10,24,10,,0.00,1,,182<br />
2009-1-7,22,17,13,15,13,11,94,73,60,1019,1017,1016,10,10,10,29,13,,0.00,2,,192<br />
2009-1-8,26,20,15,17,15,12,94,72,44,1018,1016,1014,10,10,10,26,13,,0.00,3,,89<br />
2009-1-9,26,22,18,19,18,16,94,77,57,1015,1012,1010,10,10,10,24,13,,0.00,3,,45<br />
2009-1-10,23,21,19,19,18,17,88,82,69,1011,1010,1009,10,10,5,19,8,,0.00,3,Rain,138<br />
2009-1-11,22,19,16,18,16,14,94,80,64,1013,1011,1009,10,10,8,34,16,,0.00,4,Rain,153<br />
2009-1-12,24,20,16,16,14,12,83,70,60,1012,1011,1009,10,10,10,26,14,,0.00,1,,200<br />
2009-1-13,22,20,18,16,16,15,88,79,64,1010,1009,1008,10,10,10,27,18,,0.00,3,,224<br />
2009-1-14,24,20,17,17,14,12,94,74,57,1013,1012,1010,10,10,10,27,11,,0.00,1,,179<br />
2009-1-15,23,18,14,15,13,11,88,70,50,1013,1012,1011,10,10,10,27,13,,0.00,2,,200<br />
2009-1-16,22,19,17,16,14,12,83,70,60,1012,1011,1010,10,10,10,29,24,,0.00,5,,225<br />
2009-1-17,24,20,17,15,14,13,83,70,50,1010,1009,1007,10,10,10,29,18,,0.00,4,,260<br />
2009-1-18,21,18,15,15,13,10,94,73,52,1007,1005,1003,10,9,2,40,21,37,0.00,4,Rain,283<br />
2009-1-19,20,18,15,13,12,10,82,68,60,1014,1009,1006,10,10,10,47,32,52,0.00,3,Rain,250<br />
2009-1-20,21,18,16,14,12,10,82,69,60,1020,1017,1014,10,10,4,37,26,,0.00,3,Rain,233<br />
2009-1-21,21,17,14,14,12,11,82,70,56,1026,1023,1020,10,10,10,24,16,,0.00,3,,207<br />
2009-1-22,24,18,12,15,13,11,94,74,50,1028,1026,1024,10,10,10,23,8,,0.00,2,,192<br />
2009-1-23,25,19,14,16,14,12,94,74,50,1026,1025,1023,10,10,10,23,6,,0.00,2,,194<br />
2009-1-24,24,19,15,16,14,14,94,73,53,1024,1023,1021,10,10,10,26,10,,0.00,1,,198<br />
2009-1-25,24,19,15,17,16,14,94,77,61,1022,1020,1019,10,10,10,27,13,,0.00,2,,200<br />
2009-1-26,24,21,18,16,16,14,88,73,57,1019,1016,1014,10,10,10,26,21,,0.00,3,,220<br />
2009-1-27,23,21,19,18,16,13,88,76,64,1014,1011,1010,10,10,10,35,23,,0.00,5,Rain,239<br />
2009-1-28,23,19,15,15,13,12,88,69,50,1019,1015,1011,10,10,10,34,16,,0.00,3,,217<br />
2009-1-29,22,18,15,14,13,12,88,70,57,1021,1020,1019,10,10,10,27,10,,0.00,2,,209<br />
2009-1-30,22,19,17,15,13,11,83,70,60,1020,1019,1018,10,10,10,27,23,,0.00,5,,225<br />
2009-1-31,23,21,19,17,16,15,88,76,61,1019,1017,1016,10,10,10,27,19,,0.00,6,,218<br />
2009-2-1,23,21,19,18,16,14,88,76,60,1016,1014,1011,10,10,5,34,19,,0.00,5,Rain,226<br />
2009-2-2,23,21,19,18,15,14,94,72,57,1017,1013,1011,10,10,10,32,23,,0.00,4,,215<br />
2009-2-3,27,22,18,16,14,9,88,66,36,1018,1016,1015,10,10,10,24,11,,0.00,3,,36<br />
2009-2-4,26,21,16,17,16,14,94,75,47,1016,1013,1011,10,10,10,26,8,,0.00,2,,178<br />
2009-2-5,26,22,18,17,15,13,83,71,47,1015,1013,1012,10,10,10,26,11,45,0.00,2,,148<br />
2009-2-6,27,22,18,16,15,14,88,66,47,1017,1015,1014,10,10,10,29,16,,0.00,2,,62<br />
2009-2-7,26,21,16,17,16,15,94,74,54,1017,1015,1014,10,10,10,32,11,,0.00,1,,193<br />
2009-2-8,26,22,19,18,17,16,88,74,57,1019,1018,1016,10,10,10,29,18,,0.00,5,,212<br />
2009-2-9,26,22,18,22,19,16,94,82,57,1018,1014,1011,10,9,3,23,11,,0.00,5,Rain,52<br />
2009-2-10,26,23,22,22,21,20,100,87,74,1012,1010,1009,10,9,4,23,14,,0.00,6,Rain,326<br />
2009-2-11,27,23,20,21,21,20,100,87,70,1013,1011,1010,10,9,4,24,11,,0.00,4,Rain,337<br />
2009-2-12,28,24,22,22,21,20,94,82,62,1011,1007,1002,10,9,3,40,21,61,0.00,5,Rain,4<br />
2009-2-13,22,20,17,21,15,11,94,74,56,1014,1010,1005,10,10,6,42,31,,0.00,5,Rain,228<br />
2009-2-14,18,16,14,14,13,11,94,82,68,1021,1018,1014,10,8,3,26,14,,0.00,4,Rain,125<br />
2009-2-15,23,18,14,14,12,10,88,67,47,1022,1020,1017,10,10,10,21,13,,0.00,1,,85<br />
2009-2-16,23,20,17,17,15,13,88,75,57,1017,1014,1013,10,10,10,16,8,,0.00,3,Rain,49<br />
2009-2-17,26,21,17,17,16,12,94,74,42,1020,1017,1015,10,10,10,21,8,37,0.00,3,,65<br />
2009-2-18,24,20,17,19,18,16,94,87,69,1022,1021,1020,10,9,4,21,8,,0.00,4,Rain,27<br />
2009-2-19,26,22,18,20,18,17,94,82,61,1021,1019,1016,10,10,10,27,11,,0.00,3,Rain,27<br />
2009-2-20,23,22,21,22,21,19,94,93,88,1015,1008,1003,10,7,3,37,26,,0.00,6,Rain,348<br />
2009-2-21,24,22,20,20,19,17,94,84,73,1007,1004,1003,10,10,10,32,16,,0.00,5,,308<br />
2009-2-22,23,20,18,18,16,14,94,79,60,1012,1010,1007,10,10,10,24,16,,0.00,4,Rain,258<br />
2009-2-23,22,19,17,15,14,12,88,71,57,1015,1013,1012,10,10,10,21,11,,0.00,2,Rain,256<br />
2009-2-24,22,19,16,17,13,12,88,75,56,1019,1016,1014,10,10,7,23,11,,0.00,3,Rain,271<br />
2009-2-25,22,18,15,14,13,11,88,71,56,1021,1019,1019,10,10,10,23,10,,0.00,2,,193<br />
2009-2-26,22,17,13,15,13,11,94,74,50,1020,1018,1016,10,10,10,13,6,,0.00,2,,150<br />
2009-2-27,23,19,16,16,15,14,94,77,60,1018,1016,1013,10,10,7,21,10,,0.00,2,Rain,85<br />
2009-2-28,23,20,18,22,19,16,94,90,83,1013,1007,1005,10,9,3,40,24,52,0.00,5,Rain,49<br />
2009-3-1,25,21,17,19,17,16,94,81,57,1011,1009,1008,10,10,10,24,11,,0.00,2,,317<br />
2009-3-2,23,20,18,18,17,15,94,79,64,1017,1014,1011,10,10,10,21,13,,0.00,2,,259<br />
2009-3-3,22,19,17,16,16,15,94,77,64,1024,1020,1016,10,10,10,27,14,,0.00,2,,203<br />
2009-3-4,22,19,17,16,13,11,88,67,50,1028,1026,1024,10,10,10,34,19,,0.00,2,,95<br />
2009-3-5,21,20,19,18,16,12,88,76,64,1025,1018,1013,10,8,4,50,31,71,0.00,5,Rain,72<br />
2009-3-6,25,22,20,22,20,18,94,90,83,1013,1012,1011,10,9,4,37,26,,0.00,6,Rain,40<br />
2009-3-7,24,21,19,20,18,15,100,84,68,1012,1010,1008,10,10,10,32,11,,0.00,3,,306<br />
2009-3-8,22,20,18,16,14,14,83,73,60,1010,1009,1008,10,10,6,29,21,,0.00,3,Rain,248<br />
2009-3-9,20,18,17,15,12,10,88,69,59,1014,1011,1008,10,10,7,42,29,,0.00,2,Rain,238<br />
2009-3-10,20,18,16,14,11,8,82,64,55,1016,1014,1011,10,10,8,37,26,60,0.00,2,Rain,244<br />
2009-3-11,19,17,15,14,11,9,82,70,52,1011,1010,1008,10,10,10,47,39,66,0.00,4,Rain,242<br />
2009-3-12,19,16,12,15,12,8,88,75,59,1013,1011,1009,10,9,5,47,27,61,0.00,3,Rain,220<br />
2009-3-13,20,18,15,15,13,12,88,80,68,1016,1013,1011,10,10,6,32,26,,0.00,4,Rain,234<br />
2009-3-14,19,16,12,15,13,11,94,83,68,1023,1020,1017,10,9,4,21,8,,0.00,3,Rain,90<br />
2009-3-15,22,18,14,13,12,10,82,69,46,1026,1024,1023,10,10,10,21,13,39,0.00,2,,98<br />
2009-3-16,22,18,14,14,12,11,88,71,56,1025,1024,1022,10,10,10,14,10,26,0.00,2,,116<br />
2009-3-17,24,19,14,15,13,12,94,77,47,1022,1020,1018,10,10,10,13,5,,0.00,2,,165<br />
2009-3-18,23,19,16,19,17,15,94,83,69,1018,1017,1015,10,10,10,16,5,,0.00,4,,162<br />
2009-3-19,22,19,17,17,16,14,94,82,64,1016,1014,1013,10,9,3,24,11,,0.00,3,Rain,280<br />
2009-3-20,20,18,17,15,12,11,83,69,60,1015,1014,1013,10,10,10,32,24,,0.00,5,,225<br />
2009-3-21,21,18,16,13,12,10,77,68,56,1015,1014,1013,10,10,10,26,16,,0.00,4,,197<br />
2009-3-22,21,17,13,14,12,11,94,75,53,1014,1013,1012,10,10,10,21,8,,0.00,2,,184<br />
2009-3-23,20,17,14,14,10,2,94,67,32,1016,1013,1011,10,10,10,23,8,,0.00,2,,154<br />
2009-3-24,19,14,10,11,9,6,87,68,55,1022,1019,1016,10,10,10,24,10,,0.00,2,,185<br />
2009-3-25,21,14,9,13,11,8,94,79,59,1026,1024,1023,10,10,10,21,6,,0.00,1,,183<br />
2009-3-26,20,17,14,13,12,11,88,74,60,1026,1024,1023,10,10,10,23,13,,0.00,4,,198<br />
2009-3-27,20,15,10,13,11,9,94,75,52,1023,1021,1019,10,10,10,16,6,,0.00,2,,230<br />
2009-3-28,21,16,11,14,12,9,94,78,60,1025,1022,1021,10,10,10,19,8,,0.00,1,,236<br />
2009-3-29,21,16,12,15,13,11,100,80,56,1027,1026,1025,10,10,10,21,8,,0.00,2,,175<br />
2009-3-30,21,16,11,13,12,10,100,78,56,1027,1025,1024,10,10,10,23,6,,0.00,3,,165<br />
