
SAST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,25,20,15,18,16,13,100,76,54,1022,1019,1017,19,10,8,27,10,,7.11,3,Rain-Thunderstorm,12<br />
2013-1-2,24,19,14,16,14,13,100,73,46,1023,1021,1018,31,10,5,26,19,35,0.00,4,Rain,38<br />
2013-1-3,24,21,17,15,14,10,88,66,42,1021,1019,1017,19,10,10,37,18,55,0.00,4,,304<br />
2013-1-4,29,23,16,15,6,-3,94,38,7,1022,1019,1017,31,14,7,24,13,35,0.00,4,,214<br />
2013-1-5,22,19,16,15,14,13,94,77,56,1023,1022,1020,19,9,4,32,18,,0.00,5,,33<br />
2013-1-6,26,20,14,15,13,11,94,64,30,1024,1022,1021,31,11,8,21,14,,0.00,3,,334<br />
2013-1-7,28,22,16,15,13,10,88,55,26,1027,1025,1023,31,11,8,26,10,39,0.00,2,Rain-Thunderstorm,51<br />
2013-1-8,29,22,16,14,11,7,82,49,20,1027,1025,1022,19,14,10,21,14,,0.00,1,,7<br />
2013-1-9,29,24,18,11,9,8,56,37,18,1024,1021,1018,31,18,10,26,14,,0.00,1,,323<br />
2013-1-10,30,26,21,12,10,7,50,35,16,1020,1020,1020,31,22,19,21,14,,0.00,,,355<br />
2013-1-11,26,21,17,16,14,13,81,64,46,,,,31,20,10,32,16,,12.95,8,Rain,-1<br />
2013-1-12,23,18,13,15,14,13,83,62,43,,,,19,16,10,21,16,,0.00,,,-1<br />
2013-1-13,25,19,13,12,11,11,84,58,33,,,,,,,26,18,,0.00,,,-1<br />
2013-1-14,28,20,13,13,9,3,76,43,12,,,,31,17,3,21,14,,0.00,,,-1<br />
2013-1-15,27,21,14,17,15,14,84,65,40,,,,31,17,10,26,18,,0.00,,,-1<br />
2013-1-16,24,19,17,15,14,14,80,71,53,,,,31,25,19,27,23,,0.51,,,-1<br />
2013-1-17,24,18,14,14,14,13,90,69,50,,,,,,,21,13,,0.00,,,-1<br />
2013-1-18,20,18,17,17,17,16,89,85,81,,,,19,14,10,16,11,,18.03,,Rain,-1<br />
2013-1-19,21,18,15,16,15,14,94,90,86,,,,19,12,8,27,13,,22.10,8,Rain,-1<br />
