
HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,23,21,18,21,19,17,100,87,73,1020,1019,1017,16,15,8,27,14,39,T,5,Rain,12<br />
2013-1-2,23,21,19,20,19,18,100,90,79,1019,1017,1015,16,16,11,32,13,42,T,6,Rain,43<br />
2013-1-3,26,22,18,20,18,16,88,80,64,1019,1017,1016,16,15,3,34,10,48,0.76,7,Rain,36<br />
2013-1-4,26,22,18,19,18,17,84,74,64,1021,1019,1017,16,15,10,50,31,60,T,5,Rain,55<br />
2013-1-5,27,22,17,22,19,18,100,81,62,1021,1019,1018,16,16,11,53,35,71,2.29,5,Rain,64<br />
2013-1-6,28,23,17,19,18,17,79,65,51,1020,1019,1016,16,16,14,48,29,60,T,3,Rain,66<br />
2013-1-7,28,24,21,19,18,17,84,69,54,1019,1017,1015,16,16,16,39,22,50,0.25,3,Rain,59<br />
2013-1-8,28,25,22,19,18,17,84,68,51,1016,1014,1012,16,16,16,42,21,50,T,4,Rain,65<br />
2013-1-9,28,24,21,19,18,18,84,70,55,1016,1014,1013,16,16,16,35,20,48,T,3,,58<br />
2013-1-10,28,25,22,18,17,16,73,62,51,1016,1014,1013,16,16,16,29,18,37,0.00,2,,65<br />
2013-1-11,28,25,22,18,17,16,79,63,47,1015,1013,1011,16,16,16,32,15,40,0.00,2,,39<br />
2013-1-12,27,23,20,21,19,17,87,77,67,1015,1013,1012,16,15,8,24,9,27,1.52,4,Rain,92<br />
2013-1-13,27,23,19,21,19,17,90,74,58,1015,1014,1013,16,16,14,16,4,23,T,4,Rain,144<br />
2013-1-14,26,23,20,22,21,18,100,82,64,1015,1013,1012,16,11,1,45,12,53,11.18,7,Rain,233<br />
2013-1-15,26,22,18,18,16,13,93,75,56,1014,1013,1011,16,16,16,32,10,39,0.00,2,,303<br />
2013-1-16,27,21,15,16,14,12,84,68,52,1015,1013,1010,16,16,16,23,7,32,0.00,2,,328<br />
2013-1-17,26,22,17,17,15,12,87,65,42,1013,1012,1010,16,16,16,24,9,37,0.00,2,,318<br />
2013-1-18,28,23,17,16,14,12,87,64,40,1014,1012,1010,16,16,16,34,14,47,0.00,2,,339<br />
2013-1-19,27,22,16,13,12,10,84,60,36,1017,1015,1013,16,16,16,35,14,50,0.00,2,,330<br />
