
IRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,13,8,4,-2,-4,-6,57,39,16,1022,1020,1017,10,7,3,14,5,,0.00,1,,247<br />
2015-1-2,15,11,6,0,-2,-4,54,40,16,1020,1018,1015,11,10,10,34,14,,0.00,2,,239<br />
2015-1-3,14,10,6,0,-5,-9,61,37,10,1017,1015,1012,10,10,10,26,11,,0.00,4,,288<br />
2015-1-4,12,8,4,12,-6,-9,82,34,14,1016,1012,1010,14,10,4,40,18,,0.00,4,,286<br />
2015-1-5,21,11,1,-3,-7,-11,70,35,9,1018,1016,1014,11,9,7,34,13,,0.00,0,,270<br />
2015-1-6,14,9,4,-4,-7,-13,40,29,10,1020,1018,1016,11,10,10,11,3,,0.00,,,175<br />
2015-1-7,16,12,7,-2,-4,-5,50,35,14,1019,1014,1009,10,9,6,14,5,,0.00,3,,141<br />
2015-1-8,9,6,2,0,-4,-10,75,48,27,1014,1010,1006,11,9,6,37,14,,0.00,3,,286<br />
2015-1-9,7,2,-2,-3,-7,-12,80,50,14,1022,1017,1014,11,9,6,34,18,,0.00,2,,269<br />
2015-1-10,6,3,1,-5,-7,-11,65,49,18,1017,1014,1012,10,10,10,23,8,,0.00,4,,269<br />
2015-1-11,7,3,0,-10,-12,-14,44,30,14,1022,1018,1015,10,9,8,23,10,,0.00,5,,266<br />
2015-1-12,9,4,-1,-8,-10,-13,55,34,12,1028,1022,1019,10,10,10,37,18,,0.00,,,272<br />
2015-1-13,12,6,1,-8,-9,-12,45,32,11,1029,1026,1025,10,5,3,11,3,,0.00,0,,198<br />
2015-1-14,11,6,1,-7,-8,-10,48,33,12,1030,1027,1026,10,6,5,11,5,,0.00,0,,187<br />
2015-1-15,11,7,3,-7,-9,-12,48,30,10,1028,1024,1021,10,9,6,19,5,,0.00,2,,147<br />
2015-1-16,14,9,5,-4,-8,-11,46,29,10,1022,1019,1016,11,10,10,11,3,,0.00,3,,221<br />
2015-1-17,11,8,4,-3,-4,-6,57,40,19,1019,1017,1015,10,9,8,26,6,,0.00,3,,220<br />
2015-1-18,9,6,2,0,-3,-5,75,54,26,1022,1019,1017,10,9,5,19,13,,0.00,2,,285<br />
2015-1-19,8,4,1,-2,-4,-7,70,53,23,1023,1020,1018,10,9,7,23,11,,0.00,3,,257<br />
2015-1-20,8,4,1,-4,-7,-8,65,44,21,1025,1021,1020,10,7,5,11,5,,0.00,0,,205<br />
2015-1-21,11,6,0,-7,-9,-12,60,36,10,1025,1022,1020,10,7,5,14,5,,0.00,0,,259<br />
2015-1-22,9,6,2,-1,-8,-10,50,35,14,1023,1020,1018,10,7,5,19,3,,0.00,6,,221<br />
2015-1-23,9,5,1,-2,-4,-7,70,47,22,1026,1021,1018,10,9,6,23,11,,0.00,2,,232<br />
2015-1-24,8,6,3,-1,-4,-6,70,50,28,1029,1026,1024,10,10,6,11,5,,0.00,4,,210<br />
2015-1-25,9,4,1,-5,-6,-7,65,45,22,1029,1025,1023,10,10,8,11,8,,0.00,2,,257<br />
2015-1-26,9,6,2,-5,-6,-6,60,44,23,1027,1023,1021,10,8,5,14,6,,0.00,4,,163<br />
