
AZT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2009-1-1,1,0,-1,1,0,-1,100,100,100,1024,1020,1017,8,2,0,52,42,71,0.00,8,Snow,335<br />
2009-1-2,4,0,-4,2,-1,-4,100,98,81,1023,1021,1020,10,8,0,34,18,,0.00,5,Fog-Snow,223<br />
2009-1-3,4,0,-4,1,-2,-7,100,76,48,1020,1019,1017,,,,37,23,,0.00,,,207<br />
2009-1-4,4,2,0,3,2,-5,100,96,56,1026,1023,1017,10,10,10,37,21,,0.00,6,,321<br />
2009-1-5,5,3,1,5,3,1,100,97,93,1023,1013,1008,10,10,10,52,21,66,0.00,7,,195<br />
2009-1-6,6,3,1,5,4,1,100,99,93,1022,1018,1011,10,10,10,48,24,66,0.00,7,Rain,321<br />
2009-1-7,4,3,2,4,3,2,100,100,100,1024,1022,1020,10,9,3,29,16,,0.00,8,Rain,358<br />
2009-1-8,5,3,2,5,3,2,100,100,100,1024,1021,1018,10,8,0,37,14,,0.00,8,Fog-Rain,305<br />
2009-1-9,7,3,-1,6,3,-1,100,97,76,1025,1019,1012,10,10,8,74,24,93,0.00,7,,235<br />
2009-1-10,3,1,-1,2,-2,-5,100,86,60,1032,1028,1023,10,10,10,52,32,71,0.00,6,,283<br />
2009-1-11,6,3,1,4,-1,-7,100,77,48,1028,1022,1020,10,10,10,29,19,,0.00,5,Rain,277<br />
2009-1-12,3,1,0,3,1,0,100,96,93,1032,1030,1028,10,10,10,34,19,,0.00,8,Rain-Snow,4<br />
2009-1-13,7,3,-1,5,2,-1,100,93,66,1034,1031,1029,8,6,4,23,6,,0.00,6,,183<br />
2009-1-14,12,8,4,6,3,-1,100,83,41,1036,1034,1031,,,,26,13,,0.00,,,183<br />
2009-1-15,10,7,4,8,5,3,100,94,71,1031,1029,1028,10,10,10,26,21,,0.00,6,,183<br />
2009-1-16,8,6,4,8,6,4,100,100,93,1028,1025,1022,10,6,0,34,21,,0.00,4,Fog,180<br />
2009-1-17,8,7,5,8,6,5,100,99,93,1021,1016,1011,10,9,0,52,32,71,0.00,6,Fog,186<br />
2009-1-18,7,4,3,7,5,3,100,100,93,1024,1019,1012,10,10,10,48,26,,0.00,8,,321<br />
2009-1-19,6,6,5,6,6,5,100,100,100,1024,1021,1017,10,10,10,34,19,,0.00,7,,230<br />
2009-1-20,9,4,1,7,4,1,100,97,82,1019,1018,1017,10,8,2,19,10,,0.00,5,Fog,191<br />
2009-1-21,7,4,3,7,5,3,100,100,93,1030,1025,1020,10,9,3,40,19,,0.00,7,Rain,319<br />
2009-1-22,5,4,3,4,4,3,100,99,93,1033,1032,1030,10,10,10,37,27,,0.00,8,Rain,329<br />
2009-1-23,8,4,2,7,4,2,100,99,87,1032,1030,1027,10,9,1,19,11,,0.00,7,Fog,310<br />
2009-1-24,8,6,3,7,5,3,100,99,93,1027,1021,1016,10,10,8,29,18,,0.00,5,,179<br />
2009-1-25,7,6,4,6,5,3,100,96,81,1016,1014,1012,10,10,10,29,16,,0.00,5,,178<br />
2009-1-26,9,6,3,7,6,3,100,98,71,1013,1012,1010,10,8,0,40,23,,0.00,5,Fog,187<br />
2009-1-27,7,6,4,7,6,4,100,100,100,1019,1016,1012,10,7,2,23,14,,0.00,8,,342<br />
2009-1-28,7,6,4,7,6,4,100,100,100,1022,1020,1019,10,7,3,11,6,,0.00,8,Fog-Rain,94<br />
2009-1-29,8,7,6,8,7,6,100,100,100,1020,1016,1013,10,9,2,29,16,,0.00,8,,174<br />
2009-1-30,11,7,3,10,7,3,100,99,93,1013,1011,1008,10,10,10,37,21,,0.00,7,,209<br />
2009-1-31,8,6,4,8,6,4,100,100,93,1016,1013,1011,10,10,10,23,13,,0.00,8,,357<br />
2009-2-1,6,4,4,6,6,4,100,100,100,1019,1016,1015,10,9,4,19,6,,0.00,8,Rain,56<br />
