
NZDT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,24,19,15,17,15,14,94,77,57,1016,1015,1014,30,25,20,24,11,,0.00,1,,210<br />
2002-1-2,24,19,15,17,15,13,94,76,57,1015,1014,1013,30,23,20,21,6,,0.00,1,,189<br />
2002-1-3,27,22,17,19,17,14,94,78,58,1014,1011,1008,30,23,20,23,8,32,0.00,3,,39<br />
2002-1-4,23,20,18,18,15,11,94,73,56,1008,1005,1002,30,27,15,42,21,58,0.00,3,Rain,306<br />
2002-1-5,21,18,15,14,12,11,82,68,53,1008,1007,1005,30,27,4,39,31,63,0.00,5,Rain,260<br />
2002-1-6,19,17,15,15,13,11,88,78,72,1008,1007,1005,30,17,8,27,18,,0.00,5,Rain,269<br />
2002-1-7,21,16,12,14,12,10,94,76,53,1014,1012,1009,,,,27,10,,0.00,3,,190<br />
2002-1-8,20,16,12,14,12,10,94,72,60,1015,1013,1012,30,30,30,14,8,,0.00,5,,214<br />
2002-1-9,20,18,15,18,15,12,94,85,68,1012,1007,1002,30,19,6,27,11,47,0.00,6,Rain,28<br />
2002-1-10,24,20,16,19,16,12,100,78,57,1002,1000,999,30,21,3,23,11,,0.00,3,Rain,327<br />
2002-1-11,23,19,16,17,16,14,94,81,65,1002,1000,996,30,22,8,34,16,,0.00,5,Rain,67<br />
2002-1-12,23,19,15,19,16,14,94,84,64,996,995,994,30,23,6,23,10,,0.00,3,Rain-Thunderstorm,34<br />
2002-1-13,23,18,14,17,15,13,94,79,64,1002,999,996,,,,24,11,,0.00,3,,296<br />
2002-1-14,24,21,18,20,17,14,94,82,57,1002,1001,999,25,16,8,32,16,,0.00,4,Rain,356<br />
2002-1-15,23,20,18,18,16,15,88,81,65,1005,1001,999,30,17,8,35,21,50,0.00,4,Rain,330<br />
2002-1-16,23,20,17,16,15,13,88,73,57,1012,1009,1005,30,24,15,27,19,,0.00,3,,271<br />
2002-1-17,23,19,15,17,15,14,94,75,57,1013,1012,1011,,,,16,8,,0.00,4,,360<br />
2002-1-18,20,19,18,18,17,16,94,86,78,1012,1010,1008,25,16,2,16,6,,0.00,6,Rain,96<br />
2002-1-19,22,20,18,18,15,13,94,75,64,1009,1007,1006,30,24,20,40,23,,0.00,5,Rain,228<br />
