
KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,-4,-10,-14,-10,-12,-16,80,70,63,1022,1020,1018,10,9,6,14,5,,0.00,8,Snow,-1<br />
2013-1-2,-12,-15,-18,-18,-22,-24,47,38,24,1037,1031,1024,10,10,10,14,8,,0.00,,,-1<br />
2013-1-3,-12,-17,-21,-21,-23,-24,64,43,25,1041,1039,1038,10,10,10,18,5,,0.00,8,,-1<br />
2013-1-4,-9,-16,-21,-17,-19,-22,87,66,35,1038,1035,1031,10,9,6,6,2,,0.00,8,,-1<br />
2013-1-5,-6,-11,-17,-11,-14,-18,88,75,58,1030,1028,1026,10,9,8,11,5,,0.00,8,Snow,-1<br />
2013-1-6,-5,-10,-14,-11,-12,-15,95,83,56,1029,1028,1027,8,5,0,0,0,,0.00,8,Fog-Snow,-1<br />
2013-1-7,-7,-12,-18,-12,-14,-19,92,80,57,1029,1027,1026,8,7,6,3,2,,0.00,8,,-1<br />
2013-1-8,-6,-11,-17,-11,-13,-16,91,72,50,1029,1028,1027,10,9,8,6,2,,0.00,8,,-1<br />
2013-1-9,-8,-13,-17,-14,-18,-22,66,46,24,1030,1029,1028,10,9,8,14,8,,0.00,8,,-1<br />
2013-1-10,-6,-13,-19,-15,-18,-21,88,62,34,1033,1032,1030,10,9,6,3,0,,0.00,8,,-1<br />
2013-1-11,-1,-7,-14,-4,-9,-16,81,71,62,1032,1029,1025,10,9,8,6,5,,2.03,8,Snow,-1<br />
2013-1-12,2,-2,-4,-2,-3,-6,94,83,59,1026,1025,1022,8,5,3,6,5,,0.00,8,Snow,-1<br />
2013-1-13,-3,-6,-10,-3,-8,-10,96,90,85,1029,1027,1025,2,1,0,3,2,,0.00,8,Fog,-1<br />
2013-1-14,-1,-7,-12,-7,-12,-18,93,62,23,1026,1024,1022,10,5,0,11,3,,0.00,8,Fog,-1<br />
2013-1-15,-2,-8,-14,-10,-14,-18,85,53,25,1029,1027,1025,10,10,10,3,3,,0.00,8,,-1<br />
2013-1-16,-3,-6,-7,-7,-8,-9,87,73,58,1027,1026,1025,10,9,8,11,2,,0.00,8,Snow,-1<br />
2013-1-17,-6,-10,-14,-12,-14,-17,80,56,27,1033,1031,1028,10,9,8,11,2,,0.00,8,,-1<br />
2013-1-18,-3,-10,-16,-10,-14,-17,85,60,26,1033,1031,1029,10,9,8,6,2,,0.00,8,,-1<br />
2013-1-19,0,-2,-5,-4,-6,-8,81,72,61,1032,1029,1028,10,7,3,6,2,,0.00,8,Snow,-1<br />
2013-1-20,2,-4,-9,-4,-7,-9,85,69,48,1034,1032,1031,8,7,6,3,2,,0.00,8,,-1<br />
2013-1-21,2,1,0,1,-1,-4,95,85,67,1030,1025,1021,10,7,2,3,2,,6.10,8,Rain-Snow,-1<br />
