
HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-1-1,28,23,19,19,18,17,87,73,58,1018,1017,1014,16,15,8,26,7,29,0.00,2,,53<br />
2012-1-2,28,24,21,22,19,18,90,78,65,1020,1018,1017,16,16,13,16,6,,0.00,2,,239<br />
2012-1-3,27,23,19,21,19,18,97,80,62,1022,1020,1019,14,13,10,13,7,,0.00,4,,29<br />
2012-1-4,28,24,21,19,19,18,93,76,58,1024,1022,1020,16,14,11,32,13,39,0.00,4,,38<br />
2012-1-5,28,26,22,19,17,16,79,65,51,1024,1021,1019,16,16,16,35,20,48,0.00,2,,56<br />
2012-1-6,27,24,21,18,17,16,79,67,54,1022,1020,1018,16,16,16,27,15,34,0.00,3,,64<br />
2012-1-7,28,23,18,18,16,14,87,68,48,1020,1019,1017,16,16,16,21,10,32,0.00,3,,46<br />
2012-1-8,27,22,16,19,17,15,93,72,51,1020,1019,1017,16,16,16,21,8,24,0.00,2,,332<br />
2012-1-9,28,23,19,19,17,16,87,69,51,1020,1019,1017,16,16,16,27,9,37,T,3,,50<br />
2012-1-10,28,24,19,19,17,17,84,69,54,1019,1018,1016,16,16,16,27,14,35,0.00,3,,52<br />
2012-1-11,28,23,18,18,17,16,100,76,51,1018,1016,1014,16,16,16,29,10,37,0.00,3,,26<br />
2012-1-12,26,23,19,20,18,17,93,77,60,1015,1014,1011,16,16,16,21,9,26,0.00,4,,250<br />
2012-1-13,27,22,17,19,17,15,93,76,58,1013,1012,1010,16,16,16,32,10,40,0.00,3,,255<br />
2012-1-14,26,21,16,20,17,14,93,79,64,1014,1012,1011,16,16,16,16,5,23,0.00,2,,190<br />
2012-1-15,27,25,23,23,22,19,93,84,74,1015,1013,1011,16,15,3,27,18,37,0.00,3,Rain,168<br />
2012-1-16,26,23,20,23,23,22,100,90,79,1016,1015,1013,16,16,10,27,16,37,6.35,5,Rain,164<br />
2012-1-17,26,24,23,23,23,22,100,93,85,1016,1015,1013,16,16,14,26,19,35,0.00,6,,159<br />
2012-1-18,26,25,23,23,22,22,100,90,79,1019,1016,1014,16,16,16,21,13,27,0.00,4,,172<br />
2012-1-19,26,23,21,22,21,19,100,86,71,1021,1019,1017,16,16,16,23,7,26,0.00,2,,130<br />
2012-1-20,28,24,19,20,19,17,90,71,51,1022,1020,1018,16,16,16,27,12,35,0.00,3,,77<br />
2012-1-21,28,26,23,19,18,17,79,65,51,1022,1020,1018,16,16,16,34,20,42,T,4,,61<br />
2012-1-22,28,24,21,19,18,16,84,68,51,1020,1017,1015,16,16,16,37,18,48,T,3,,62<br />
2012-1-23,27,23,19,19,18,17,93,76,58,1019,1017,1015,16,16,16,19,7,26,0.00,2,,255<br />
2012-1-24,27,23,18,19,18,17,93,76,58,1018,1016,1015,16,16,16,13,5,24,0.00,3,,136<br />
2012-1-25,27,23,19,21,19,18,90,79,67,1017,1016,1014,16,16,16,21,9,26,0.00,3,,156<br />
2012-1-26,27,24,20,21,20,19,100,81,62,1015,1014,1012,16,16,13,32,14,40,2.03,5,Rain,164<br />
2012-1-27,26,23,19,21,20,19,100,86,71,1018,1015,1013,16,16,16,19,6,24,T,3,Rain,232<br />
2012-1-28,28,25,21,19,17,14,84,64,43,1021,1018,1016,16,16,14,37,20,48,0.00,3,,59<br />
2012-1-29,28,24,21,19,18,16,84,68,51,1021,1020,1019,16,16,16,40,25,53,T,3,Rain,64<br />
2012-1-30,27,24,21,19,17,16,90,71,51,1021,1019,1016,16,16,16,35,19,47,T,4,,56<br />
2012-1-31,27,24,21,18,17,15,79,66,52,1017,1016,1014,16,16,16,26,12,34,T,5,Rain,61<br />
2012-2-1,28,23,19,18,16,14,87,66,45,1018,1016,1013,16,16,16,26,10,35,0.00,4,,21<br />
2012-2-2,27,24,21,17,15,14,70,58,45,1018,1017,1015,16,16,16,29,19,37,0.00,3,,67<br />
2012-2-3,26,21,14,17,16,14,100,75,50,1017,1015,1013,16,16,16,24,9,29,0.00,2,,284<br />
2012-2-4,27,20,13,20,18,14,100,79,58,1013,1011,1009,16,16,16,39,11,48,0.00,3,,271<br />
2012-2-5,28,23,19,20,18,17,90,72,54,1013,1011,1009,16,16,16,37,10,45,T,3,,313<br />
2012-2-6,22,20,17,21,19,17,100,89,78,1014,1013,1011,16,12,2,19,6,23,7.11,6,Rain,286<br />
2012-2-7,26,21,17,23,20,16,97,86,74,1014,1012,1010,16,13,3,47,23,63,7.11,6,Rain,253<br />
2012-2-8,26,22,18,17,12,9,78,58,38,1021,1017,1014,16,16,16,42,21,60,T,4,Rain,345<br />
2012-2-9,26,21,16,16,14,12,93,70,46,1025,1022,1020,16,16,16,32,14,42,0.00,2,,28<br />
2012-2-10,27,23,19,18,16,14,81,63,45,1025,1023,1021,16,16,16,39,18,48,0.00,2,,58<br />
2012-2-11,28,23,19,19,18,16,100,74,47,1025,1023,1022,16,16,14,34,13,42,T,3,,65<br />
