
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2006-1-1,30,27,24,25,24,23,100,95,70,1013,1011,1009,10,10,7,23,2,,0.00,6,Rain,6<br />
2006-1-2,29,27,25,25,24,24,100,90,79,1011,1009,1007,10,9,8,14,3,,0.00,6,Rain,351<br />
2006-1-3,31,28,25,26,24,24,94,86,66,1010,1008,1006,10,10,4,21,5,,0.00,6,Rain,355<br />
2006-1-4,30,27,24,26,25,24,100,95,74,1010,1008,1007,10,9,3,13,2,,0.00,6,Rain-Thunderstorm,34<br />
2006-1-5,30,28,25,26,25,24,100,92,74,1010,1008,1006,10,10,4,14,3,,0.00,5,Rain,42<br />
2006-1-6,29,27,25,26,25,24,100,93,74,1010,1009,1007,10,9,4,23,3,,0.00,6,Rain,7<br />
2006-1-7,28,26,24,26,25,24,100,96,84,1011,1009,1007,10,9,5,19,5,,0.00,6,Rain-Thunderstorm,13<br />
2006-1-8,26,24,24,25,24,24,100,99,94,1011,1009,1007,10,5,1,19,8,,0.00,7,Rain-Thunderstorm,355<br />
2006-1-9,27,26,24,25,24,24,100,96,89,1011,1009,1007,10,8,1,24,10,42,0.00,6,Rain-Thunderstorm,11<br />
2006-1-10,26,24,24,25,24,24,100,97,89,1011,1009,1007,10,7,1,14,8,,0.00,7,Rain,357<br />
2006-1-11,28,26,23,26,25,23,100,95,84,1011,1009,1007,10,8,3,23,10,,0.00,7,Rain-Thunderstorm,6<br />
2006-1-12,24,23,23,24,23,22,100,100,94,1012,1010,1009,10,7,1,24,3,,0.00,7,Rain-Thunderstorm,353<br />
2006-1-13,31,27,23,26,24,23,100,87,66,1012,1010,1008,10,9,5,16,5,,0.00,6,,16<br />
2006-1-14,31,28,25,25,24,24,100,84,66,1012,1010,1008,10,10,10,23,8,,0.00,6,,10<br />
2006-1-15,31,28,25,25,24,24,94,84,70,1012,1010,1008,10,10,10,21,8,,0.00,6,Rain,8<br />
2006-1-16,30,27,24,25,24,23,100,85,66,1011,1010,1007,10,10,10,11,5,,0.00,6,Rain,4<br />
2006-1-17,30,28,25,25,24,24,94,87,70,1013,1010,1008,10,10,9,19,3,,0.00,6,Rain-Thunderstorm,358<br />
2006-1-18,31,28,25,26,24,24,94,87,70,1012,1010,1008,10,10,6,13,3,,0.00,6,Rain-Thunderstorm,15<br />
2006-1-19,31,28,25,26,24,23,94,86,66,1011,1010,1008,10,10,10,13,2,,0.00,6,Rain-Thunderstorm,70<br />
2006-1-20,32,28,25,26,24,22,94,86,62,1011,1010,1008,10,10,7,23,2,,0.00,6,Rain-Thunderstorm,343<br />
2006-1-21,32,28,25,27,25,24,100,88,66,1012,1009,1007,10,10,1,14,3,,0.00,6,Rain-Thunderstorm,18<br />
2006-1-22,32,28,25,26,25,24,100,88,66,1011,1008,1006,10,10,10,21,5,,0.00,6,Rain-Thunderstorm,15<br />
2006-1-23,30,28,25,25,24,23,94,83,66,1011,1009,1007,10,10,10,23,10,,0.00,6,,10<br />
