
SGT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,32,28,25,26,24,24,100,85,62,1009,1007,1005,10,10,9,19,8,,0.00,6,,16<br />
2000-1-2,31,28,26,25,25,24,94,85,66,1009,1007,1004,10,10,8,19,5,,0.00,6,,16<br />
2000-1-3,30,28,25,25,25,24,100,86,74,1008,1007,1005,10,10,10,24,8,,0.00,5,Rain,26<br />
2000-1-4,32,28,25,26,25,24,100,84,62,1009,1007,1005,10,10,10,23,8,,0.00,5,,25<br />
2000-1-5,29,26,23,26,24,23,100,95,84,1011,1009,1007,10,8,1,27,3,,0.00,6,Rain-Thunderstorm,15<br />
2000-1-6,28,26,23,25,24,23,100,95,74,1011,1009,1008,10,8,3,11,3,,0.00,7,Rain,301<br />
2000-1-7,28,27,25,26,25,24,100,92,79,1010,1008,1007,10,10,10,11,3,,0.00,6,Rain,35<br />
2000-1-8,31,28,25,25,24,23,100,85,62,1011,1009,1006,10,10,10,21,6,,0.00,5,Rain,17<br />
2000-1-9,31,27,24,25,24,23,100,82,62,1011,1009,1006,10,10,10,16,6,,0.00,5,,11<br />
2000-1-10,26,24,24,24,24,23,100,93,83,1010,1008,1006,10,10,7,11,3,,0.00,6,Rain,337<br />
2000-1-11,30,27,24,26,24,23,100,90,70,1010,1008,1006,10,9,5,13,3,,0.00,5,Rain-Thunderstorm,29<br />
2000-1-12,31,28,25,26,25,24,100,90,70,1009,1007,1005,10,10,5,26,3,,0.00,6,Rain-Thunderstorm,14<br />
2000-1-13,27,24,23,25,24,22,100,92,83,1010,1008,1006,10,10,6,23,5,,0.00,6,Rain,341<br />
2000-1-14,31,27,24,25,24,22,100,85,66,1009,1007,1005,10,10,10,27,6,,0.00,6,,10<br />
2000-1-15,31,27,24,25,24,23,94,82,62,1010,1008,1006,10,10,10,16,5,,0.00,5,,359<br />
2000-1-16,31,28,25,25,24,22,94,84,66,1010,1009,1007,10,10,7,14,5,,0.00,6,Thunderstorm,346<br />
2000-1-17,30,27,24,25,24,23,100,91,70,1011,1009,1008,10,9,2,13,3,,0.00,6,Rain-Thunderstorm,336<br />
2000-1-18,30,27,23,24,23,23,100,86,66,1012,1010,1008,10,10,6,23,6,,0.00,6,,3<br />
2000-1-19,31,28,25,25,24,23,94,85,66,1011,1010,1007,10,10,7,19,5,,0.00,6,,4<br />
2000-1-20,30,28,25,25,24,23,94,82,66,1012,1010,1008,10,10,9,23,8,40,0.00,6,Rain,4<br />
2000-1-21,29,27,25,24,23,21,94,80,66,1013,1011,1009,10,9,7,26,8,,0.00,7,,354<br />
2000-1-22,31,27,24,24,23,22,94,81,62,1012,1010,1008,10,9,5,19,6,,0.00,6,,348<br />
