
CAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,25,21,17,18,17,15,94,78,61,1018,1016,1015,10,10,10,13,8,,0.00,6,,85<br />
2000-1-2,23,20,17,18,17,16,94,80,73,1019,1017,1015,10,9,6,24,13,,0.00,5,Rain-Thunderstorm,61<br />
2000-1-3,27,22,18,19,17,16,94,76,51,1020,1019,1016,10,9,3,19,13,,0.00,6,Thunderstorm,79<br />
2000-1-4,28,23,18,17,15,12,94,65,37,1019,1018,1016,10,10,10,27,16,,0.00,6,,101<br />
2000-1-5,29,23,18,18,17,15,88,73,48,1021,1018,1015,10,10,10,24,11,,0.00,5,Thunderstorm,84<br />
2000-1-6,31,24,19,18,17,15,88,66,38,1020,1017,1014,10,10,9,16,10,,0.00,4,,74<br />
2000-1-7,28,23,18,18,17,13,94,74,47,1019,1015,1012,10,9,6,32,13,,0.00,5,Rain-Thunderstorm,24<br />
2000-1-8,29,24,19,19,17,9,88,69,41,1019,1013,1010,10,10,10,23,10,,0.00,5,Rain,10<br />
2000-1-9,26,21,17,19,18,15,100,86,61,1015,1013,1011,10,9,5,24,14,,0.00,4,Rain-Thunderstorm,97<br />
2000-1-10,26,22,18,18,17,16,100,84,57,1015,1013,1011,10,10,7,23,10,,0.00,6,Rain,294<br />
2000-1-11,22,20,18,19,18,17,100,91,73,1015,1014,1012,10,9,7,24,10,,0.00,7,Rain,254<br />
2000-1-12,26,21,17,18,17,16,100,92,61,1016,1014,1011,10,9,6,19,5,,0.00,6,Rain,190<br />
2000-1-13,26,22,18,17,17,15,94,75,54,1017,1015,1012,10,10,10,23,8,,0.00,5,Rain,84<br />
2000-1-14,27,22,17,18,15,13,94,72,42,1018,1016,1014,10,10,8,24,14,,0.00,6,Rain-Thunderstorm,95<br />
2000-1-15,25,21,17,19,17,15,100,82,54,1019,1017,1015,10,10,8,24,10,,0.00,6,Rain-Thunderstorm,60<br />
