
AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,21,18,15,4,2,-1,39,36,33,1025,1022,1020,,,,13,8,,0.00,,,35<br />
2015-1-2,24,18,12,3,2,0,47,32,22,1024,1021,1019,,,,14,6,,0.00,,,190<br />
2015-1-3,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2015-1-6,20,17,13,8,7,5,58,50,46,1022,1021,1020,6,5,4,24,13,,0.00,0,,154<br />
2015-1-7,25,19,14,6,5,4,59,37,28,1022,1019,1017,8,8,8,16,8,,0.00,0,,212<br />
2015-1-8,18,16,12,5,-1,-3,42,33,27,1024,1022,1017,3,1,0,27,16,,0.00,0,,332<br />
2015-1-9,14,11,8,-3,-3,-4,43,34,29,1023,1020,1018,3,2,1,14,11,,0.00,2,,119<br />
2015-1-10,18,14,9,1,-2,-4,43,33,27,1024,1019,1016,7,4,1,29,16,,0.00,1,,299<br />
2015-1-11,13,8,4,-2,-4,-7,61,43,33,1027,1024,1023,8,6,1,27,18,,0.00,0,,1<br />
2015-1-12,14,10,6,-3,-4,-4,53,42,29,1029,1028,1026,,,,66,26,,0.00,,,2<br />
2015-1-13,15,10,5,-4,-5,-7,49,33,25,1030,1028,1026,,,,11,8,,0.00,,,20<br />
2015-1-14,19,13,8,4,-4,-7,42,28,21,1027,1025,1023,8,7,5,10,3,,0.00,1,,98<br />
2015-1-15,20,16,12,0,-3,-6,30,27,24,1023,1021,1019,10,8,6,19,8,,0.00,3,,154<br />
2015-1-16,24,18,12,2,-1,-3,35,28,23,1022,1019,1017,10,9,8,14,10,,0.00,3,,149<br />
2015-1-17,21,17,13,7,3,-2,59,39,24,1021,1019,1017,10,9,9,19,10,,0.00,3,,9<br />
2015-1-18,14,11,8,11,8,5,94,85,76,1023,1021,1019,10,7,5,27,14,,0.00,6,Rain,19<br />
2015-1-19,15,10,6,5,1,-3,87,55,29,1024,1022,1020,,,,37,16,,0.00,,,315<br />
2015-1-20,18,12,6,-3,-4,-8,53,39,18,1025,1023,1022,,,,14,8,,0.00,,,309<br />
2015-1-21,18,12,6,-3,-4,-6,46,30,19,1027,1026,1024,9,9,9,14,8,,0.00,0,,325<br />
2015-1-22,20,14,9,-3,-4,-5,40,26,18,1027,1025,1023,,,,10,3,,0.00,,,100<br />
2015-1-23,23,14,7,-3,-6,-8,46,22,12,1023,1021,1019,10,10,10,10,3,,0.00,2,,356<br />
2015-1-24,24,17,9,-3,-6,-7,37,21,12,1023,1021,1020,8,8,8,13,3,,0.00,0,,10<br />
2015-1-25,23,16,9,-4,-5,-6,34,22,15,1026,1024,1022,8,8,8,21,8,,0.00,0,,137<br />
2015-1-26,23,17,10,-3,-4,-6,33,25,15,1026,1024,1022,,,,19,8,,0.00,,,149<br />
2015-1-27,27,19,12,-1,-4,-7,36,22,11,1022,1020,1018,9,8,8,16,8,,0.00,0,,154<br />
2015-1-28,27,18,10,-2,-3,-5,37,24,15,1022,1017,1014,8,8,7,21,8,,0.00,0,,143<br />
2015-1-29,29,21,14,2,-1,-4,31,23,14,1018,1016,1015,8,8,8,21,11,,0.00,0,,156<br />
2015-1-30,33,24,15,2,1,-1,39,27,11,1018,1016,1015,,,,11,8,,0.00,,,157<br />
2015-1-31,28,22,16,12,7,1,56,38,21,1022,1020,1018,4,4,4,26,11,,0.00,0,,11<br />
2015-2-1,22,18,14,10,5,1,72,46,29,1024,1022,1021,6,5,4,16,13,,0.00,0,,26<br />
2015-2-2,23,18,13,3,1,0,44,33,23,1023,1021,1019,,,,10,3,,0.00,,,84<br />
2015-2-3,28,21,15,3,1,0,42,27,16,1021,1019,1017,10,9,9,23,10,,0.00,1,,161<br />
2015-2-4,30,23,16,2,1,0,34,24,15,1021,1019,1017,10,9,9,16,10,,0.00,2,,167<br />
2015-2-5,25,19,15,1,1,0,39,31,21,1023,1021,1020,8,8,8,19,8,,0.00,0,,2<br />
2015-2-7,21,,21,1,1,1,27,27,27,1017,1017,1017,,,,16,16,,0.00,,,150<br />
2015-2-8,30,23,17,3,2,2,37,26,17,1015,1013,1010,8,5,0,26,14,,0.00,1,,165<br />
2015-2-9,32,26,19,6,3,1,30,24,16,1014,1012,1010,8,7,4,13,6,,0.00,1,,201<br />
2015-2-10,31,24,18,6,2,-2,27,22,17,1015,1014,1012,10,9,8,11,5,,0.00,5,,154<br />
2015-2-11,32,26,21,3,2,0,28,20,14,1016,1014,1012,10,8,4,16,10,,0.00,2,,157<br />
2015-2-12,29,24,19,9,2,-4,32,24,17,1019,1016,1013,8,3,0,32,13,,0.00,2,,357<br />
2015-2-13,23,19,15,6,-1,-5,38,24,19,1020,1017,1015,6,4,2,16,11,,0.00,1,,93<br />
2015-2-14,22,19,16,11,8,6,59,51,40,1018,1016,1015,8,4,1,16,10,,0.00,4,,75<br />
2015-2-15,26,20,14,9,7,3,72,47,26,1019,1017,1015,9,7,5,19,8,,0.00,1,,124<br />
2015-2-16,30,23,16,9,7,4,48,35,23,1019,1016,1014,9,6,5,19,14,,0.00,0,,147<br />
2015-2-17,33,26,18,8,7,5,49,29,20,1019,1016,1014,10,8,6,16,6,,0.00,1,,143<br />
2015-2-18,26,21,16,9,7,5,59,42,29,1020,1016,1014,9,4,3,32,19,,0.00,0,,68<br />
2015-2-19,31,23,16,10,8,7,63,37,22,1013,1010,1007,8,7,6,19,13,,0.00,0,,167<br />
2015-2-20,28,26,23,9,4,-5,41,26,13,1007,1006,1004,9,5,3,35,23,,0.00,0,,268<br />
2015-2-21,19,14,11,1,-2,-3,50,31,23,1016,1014,1012,6,5,5,23,14,,0.00,0,,299<br />
2015-2-22,17,13,10,2,-3,-7,58,37,25,1023,1021,1018,7,3,0,40,27,,0.00,0,,328<br />
2015-2-23,17,12,7,-2,-4,-8,50,34,18,1026,1023,1021,8,7,7,23,16,,0.00,0,,328<br />
2015-2-24,21,14,9,-4,-5,-7,34,22,17,1024,1020,1018,9,9,9,13,6,,0.00,0,,86<br />
2015-2-25,26,19,12,8,-3,-7,52,22,14,1018,1016,1014,8,6,3,19,13,,0.00,0,,158<br />
2015-2-26,24,20,17,5,1,-1,37,27,19,1020,1019,1018,8,8,7,23,18,,0.00,0,,343<br />
2015-2-27,22,17,13,1,-1,-2,44,28,20,1022,1020,1018,,,,29,23,,0.00,,,337<br />
2015-2-28,24,19,15,-1,-3,-5,34,21,14,1021,1018,1017,,,,10,3,,0.00,,,118<br />
2015-3-1,31,22,13,0,-2,-4,36,19,12,1016,1014,1012,10,8,8,11,6,,0.00,1,,183<br />
2015-3-2,29,23,18,4,0,-2,31,22,15,1018,1015,1013,10,10,10,21,11,,0.00,3,,355<br />
2015-3-3,28,23,18,13,4,-1,52,31,18,1019,1016,1014,8,8,8,23,14,,0.00,0,,133<br />
2015-3-4,29,22,16,2,2,0,36,25,18,1018,1015,1013,9,8,7,29,18,,0.00,0,,116<br />
2015-3-5,25,19,14,0,-1,-2,38,24,19,1020,1018,1017,10,10,10,19,10,,0.00,3,,43<br />
2015-3-6,22,20,19,3,3,2,35,32,29,1026,1023,1021,10,10,10,16,11,,0.00,4,,77<br />
2015-3-7,24,20,16,8,2,-1,59,29,20,1025,1022,1012,10,10,10,14,10,,0.00,4,,68<br />
2015-3-8,27,21,15,-1,-4,-14,31,20,8,1023,1022,1019,,,,21,6,,0.00,,,127<br />
2015-3-9,33,26,19,4,-2,-10,24,15,12,1021,1017,1015,10,9,8,19,11,,0.00,1,,178<br />
2015-3-10,29,24,21,5,2,-1,25,22,19,1020,1019,1018,7,6,4,26,16,,0.00,0,,345<br />
2015-3-11,28,22,17,3,-2,-8,32,22,13,1021,1019,1017,8,8,8,26,13,,0.00,0,,315<br />
2015-3-12,27,20,14,-4,-5,-10,22,15,13,1020,1018,1016,,,,19,11,,0.00,,,137<br />
2015-3-13,19,17,17,-7,-8,-8,18,17,16,1017,1017,1016,,,,16,10,,0.00,,,168<br />
2015-3-14,32,30,24,1,0,-1,19,16,14,1016,1015,1014,8,6,5,21,14,,0.00,0,,127<br />
2015-3-15,30,26,21,1,0,-1,27,19,14,1018,1015,1013,10,8,7,24,13,,0.00,4,,149<br />
2015-3-16,25,24,23,3,2,0,25,23,19,1015,1015,1015,10,8,7,14,11,,0.00,5,,69<br />
2015-3-17,28,22,17,16,14,13,82,58,42,1016,1014,1012,6,4,2,26,19,,0.00,3,,105<br />
2015-3-18,28,23,19,18,15,13,83,56,39,1015,1013,1012,3,3,1,26,14,,0.00,7,,76<br />
2015-3-19,24,22,20,18,16,9,83,70,49,1017,1015,1012,8,6,5,26,16,,0.00,7,,44<br />
2015-3-20,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />
2015-3-23,24,19,14,3,-2,-5,48,25,15,1024,1021,1019,9,8,6,24,19,,0.00,0,,26<br />
2015-3-24,24,19,15,3,2,1,45,32,23,1022,1021,1018,10,5,3,21,8,,0.00,0,,107<br />
2015-3-25,30,24,19,13,9,5,44,35,30,1020,1017,1015,10,7,5,23,16,,0.00,2,,175<br />
