
AMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,27,24,23,25,24,23,100,96,84,1016,1013,1010,10,10,5,10,2,,0.00,5,Rain,46<br />
2001-1-2,32,27,23,25,24,23,100,86,62,1015,1012,1009,10,10,10,19,3,,0.00,4,,10<br />
2001-1-3,33,28,24,26,24,22,100,86,55,1014,1012,1009,10,10,8,14,3,,0.00,5,Rain,330<br />
2001-1-4,30,27,23,25,24,23,100,94,70,1015,1012,1010,10,9,3,14,5,,0.00,6,Rain-Thunderstorm,63<br />
2001-1-5,29,26,23,26,24,23,100,96,79,1016,1013,1009,10,10,8,13,3,,0.00,6,Rain-Thunderstorm,107<br />
2001-1-6,31,27,23,27,25,23,100,94,70,1014,1011,1008,10,9,2,23,3,,0.00,6,Rain-Thunderstorm,127<br />
2001-1-7,27,24,23,25,24,20,100,96,78,1014,1011,1008,10,10,4,14,5,,0.00,5,Rain,44<br />
2001-1-8,29,26,22,26,24,22,100,96,74,1013,1011,1007,10,9,1,23,3,,0.00,4,Rain,9<br />
2001-1-9,25,24,23,25,24,23,100,100,94,1014,1012,1010,10,8,2,14,5,,0.00,6,Rain,358<br />
2001-1-10,30,26,22,25,23,22,100,91,66,1014,1012,1010,10,10,8,14,3,,0.00,6,,54<br />
2001-1-11,31,27,23,25,24,23,100,89,62,1014,1012,1009,10,10,8,14,6,,0.00,6,,75<br />
2001-1-12,31,27,24,25,24,24,100,87,70,1013,1011,1008,10,10,8,27,8,,0.00,5,Rain-Thunderstorm,53<br />
2001-1-13,30,27,24,25,24,23,100,91,70,1013,1011,1009,10,10,5,27,5,,0.00,6,Rain-Thunderstorm,25<br />
2001-1-14,29,27,24,25,24,24,100,96,74,1015,1012,1010,10,9,4,11,6,,0.00,6,Rain-Thunderstorm,107<br />
2001-1-15,28,26,23,26,24,23,100,96,74,1014,1012,1009,10,9,2,27,3,,0.00,5,Rain-Thunderstorm,54<br />
2001-1-16,26,23,22,25,23,22,100,98,89,1014,1011,1008,10,9,2,55,3,37,0.00,5,Rain,14<br />
2001-1-17,31,27,23,26,24,23,100,93,66,1015,1012,1009,10,10,5,10,2,,0.00,6,Rain,29<br />
2001-1-18,26,23,22,25,23,5,100,98,89,1016,1013,1009,10,9,2,19,5,,0.00,6,Rain-Thunderstorm,14<br />
2001-1-19,29,26,22,25,23,22,100,97,79,1023,1014,1011,10,9,2,14,3,,0.00,6,Rain-Thunderstorm,36<br />
2001-1-20,27,24,23,25,24,23,100,97,89,1017,1014,1012,10,8,0,14,2,,0.00,6,Fog-Rain,326<br />
2001-1-21,26,23,22,25,23,22,100,99,89,1016,1014,1012,10,9,6,19,3,,0.00,6,Rain-Thunderstorm,93<br />
2001-1-22,31,26,21,26,23,21,100,92,66,1016,1013,1010,10,9,3,23,3,,0.00,5,Rain-Thunderstorm,10<br />
2001-1-23,28,24,22,26,23,4,100,96,79,1016,1013,1010,10,8,1,19,2,,0.00,5,Fog-Rain-Thunderstorm,77<br />
2001-1-24,30,27,23,26,24,23,100,93,74,1017,1014,1010,10,9,1,37,6,,0.00,5,Rain-Thunderstorm,88<br />
2001-1-25,32,27,23,26,24,23,100,93,66,1015,1013,1009,10,9,2,27,5,,0.00,5,Rain-Thunderstorm,16<br />
2001-1-26,27,24,22,26,24,22,100,97,89,1015,1013,1009,10,9,3,14,3,,0.00,5,,356<br />
2001-1-27,56,40,23,25,24,23,100,90,18,1015,1012,1009,10,9,3,23,3,,0.00,4,Rain-Thunderstorm,38<br />
2001-1-28,30,26,22,26,24,22,100,95,74,1014,1012,1009,10,9,2,19,3,,0.00,6,Rain-Thunderstorm,45<br />
2001-1-29,30,27,23,26,24,23,100,93,70,1014,1011,1008,10,9,1,26,6,,0.00,6,Rain-Thunderstorm,355<br />
2001-1-30,31,26,22,26,24,22,100,93,74,1013,1010,1008,10,9,1,34,3,52,0.00,5,Rain-Thunderstorm,10<br />
2001-1-31,30,26,22,26,24,22,100,93,70,1013,1011,1009,10,9,5,14,5,,0.00,7,Rain-Thunderstorm,74<br />
2001-2-1,29,26,23,25,24,23,100,94,70,1013,1011,1008,10,10,10,19,3,,0.00,6,Rain,62<br />
2001-2-2,33,28,23,25,23,21,100,81,55,1012,1010,1006,10,9,7,19,5,,0.00,4,Rain,49<br />
2001-2-3,30,27,23,25,24,22,100,91,66,1013,1011,1006,10,9,4,26,3,,0.00,5,Rain,42<br />
2001-2-4,29,26,23,25,23,22,100,91,66,1015,1012,1009,10,10,4,19,6,,0.00,5,Rain,68<br />
