
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2001-1-1,27,23,20,18,16,13,83,66,48,1024,1022,1021,10,9,4,26,16,,0.00,6,Rain,145<br />
2001-1-2,27,24,22,15,14,13,64,56,42,1022,1022,1021,10,10,10,24,18,,0.00,2,,110<br />
2001-1-3,27,23,19,16,15,13,78,59,44,1022,1020,1018,10,10,10,21,13,,0.00,2,,125<br />
2001-1-4,27,22,18,16,16,14,88,62,45,1019,1018,1017,10,10,10,19,11,,0.00,2,,121<br />
2001-1-5,27,22,17,17,16,13,94,66,42,1018,1016,1014,10,10,10,21,11,,0.00,2,,137<br />
2001-1-6,27,22,17,16,15,13,88,61,42,1016,1015,1013,10,10,10,24,11,,0.00,2,,140<br />
2001-1-7,28,23,18,19,17,14,83,67,51,1014,1013,1011,10,10,10,24,13,,0.00,2,,152<br />
2001-1-8,28,23,19,20,19,18,94,72,58,1014,1012,1010,10,10,10,23,11,,0.00,3,Rain,120<br />
2001-1-9,29,24,20,20,17,15,94,65,45,1016,1014,1012,10,10,10,32,14,52,0.00,3,,149<br />
2001-1-10,27,22,18,16,15,14,83,60,47,1017,1016,1014,10,10,10,27,14,47,0.00,3,,144<br />
2001-1-11,26,22,18,19,17,15,94,72,61,1017,1016,1014,10,10,7,21,13,,0.00,4,Rain,116<br />
2001-1-12,29,24,20,19,18,12,88,67,37,1016,1015,1013,10,10,10,29,13,,0.00,4,,19<br />
2001-1-13,29,26,22,19,19,17,83,68,51,1015,1013,1010,10,10,10,34,18,,0.00,3,,353<br />
2001-1-14,28,24,21,20,19,18,88,70,54,1015,1014,1012,10,10,10,24,16,,0.00,3,,1<br />
2001-1-15,29,26,22,21,19,17,83,69,51,1016,1014,1011,10,10,10,29,14,,0.00,3,,14<br />
2001-1-16,29,26,23,21,21,19,83,72,58,1017,1015,1012,10,10,10,21,13,,0.00,3,,11<br />
2001-1-17,29,26,21,22,21,19,94,74,55,1016,1012,1007,10,10,6,35,18,61,0.00,4,Rain-Thunderstorm,9<br />
2001-1-18,28,24,20,21,20,17,100,79,58,1010,1007,1004,10,9,0,32,13,58,0.00,4,Rain-Hail-Thunderstorm,128<br />
2001-1-19,28,24,21,19,17,15,88,69,48,1013,1010,1008,10,10,9,35,18,58,0.00,3,,166<br />
2001-1-20,28,24,20,21,19,17,100,78,51,1015,1013,1011,10,9,4,26,16,45,0.00,4,Rain,151<br />
2001-1-21,28,24,21,22,21,20,100,80,62,1016,1015,1013,10,10,10,23,13,,0.00,3,Rain,108<br />
2001-1-22,29,26,23,21,21,19,88,75,58,1016,1015,1014,10,10,10,24,11,,0.00,2,,56<br />
2001-1-23,29,26,23,21,21,19,88,73,55,1016,1015,1014,10,10,10,21,11,,0.00,2,,47<br />
2001-1-24,28,26,23,20,18,17,83,67,54,1016,1015,1014,10,10,10,23,13,,0.00,2,,77<br />
2001-1-25,29,26,23,22,21,18,89,74,62,1014,1012,1009,10,9,4,19,11,,0.00,3,Rain,95<br />
