
BRST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,27,26,24,24,24,23,100,91,84,1013,1011,1009,10,7,1,23,11,,0.00,6,Rain,68<br />
2002-1-2,29,27,24,25,24,23,94,88,74,1011,1010,1008,10,9,4,23,11,,0.00,6,Rain-Thunderstorm,64<br />
2002-1-3,30,27,24,25,24,23,94,87,74,1012,1010,1008,10,9,6,23,13,,0.00,6,Rain,69<br />
2002-1-4,29,26,23,24,24,23,100,93,74,1013,1011,1009,10,7,1,19,14,,0.00,7,Rain,57<br />
2002-1-5,29,26,23,25,23,22,100,87,70,1014,1012,1010,10,9,3,19,13,,0.00,6,Rain,80<br />
2002-1-6,27,26,24,25,24,23,100,92,83,1013,1011,1010,10,8,0,37,14,,0.00,6,Rain-Thunderstorm,78<br />
2002-1-7,30,26,22,24,23,21,100,88,70,1015,1013,1011,10,8,3,19,14,,0.00,5,Rain,61<br />
2002-1-8,29,27,24,24,23,22,94,80,70,1014,1013,1011,10,10,6,23,13,,0.00,2,Rain,106<br />
2002-1-9,30,28,26,24,23,22,89,78,62,1016,1015,1014,10,10,10,23,16,,0.00,3,,94<br />
2002-1-10,29,27,25,24,23,22,94,79,70,1018,1016,1014,10,9,6,21,18,,0.00,3,Rain,85<br />
2002-1-11,29,27,24,25,24,22,89,83,74,1018,1017,1014,10,9,5,23,14,,0.00,3,Rain,93<br />
2002-1-12,30,28,25,24,24,23,89,81,70,1018,1016,1014,10,10,3,23,14,,0.00,3,Rain,97<br />
2002-1-13,29,27,25,24,24,23,94,82,74,1016,1014,1013,10,10,10,19,11,,0.00,3,,84<br />
2002-1-14,29,27,25,24,23,23,94,82,70,1016,1012,1009,10,10,4,19,13,,0.00,4,Rain,98<br />
