
PYST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2010-1-1,30,28,25,26,24,22,89,80,66,1008,1007,1005,10,9,1,34,13,37,0.00,5,Rain-Thunderstorm,82<br />
2010-1-2,32,28,25,26,24,22,94,77,62,1009,1008,1006,10,9,4,19,11,,0.00,4,Rain-Thunderstorm,108<br />
2010-1-3,31,28,26,26,24,24,100,82,66,1009,1007,1006,10,9,6,27,11,,0.00,6,Rain,53<br />
2010-1-4,35,30,26,26,24,22,100,76,47,1010,1008,1006,10,10,10,34,18,40,0.00,5,,7<br />
2010-1-5,35,30,26,25,24,22,89,66,49,1008,1006,1002,10,10,10,40,16,,0.00,2,,15<br />
2010-1-6,36,30,24,26,23,21,89,73,53,1007,1005,1003,10,9,5,37,19,64,0.00,5,Rain-Thunderstorm,36<br />
2010-1-7,33,28,24,24,22,21,94,73,55,1010,1008,1006,10,10,10,34,16,52,0.00,4,Thunderstorm,139<br />
2010-1-8,35,29,24,26,24,21,94,78,53,1009,1007,1004,10,9,1,19,8,,0.00,4,Rain-Thunderstorm,101<br />
2010-1-9,34,29,25,25,24,23,100,82,55,1009,1007,1005,10,9,4,26,5,,0.00,5,Rain-Thunderstorm,20<br />
2010-1-10,33,29,25,27,25,24,100,85,66,1008,1006,1004,10,10,10,26,8,,0.00,6,Thunderstorm,36<br />
2010-1-11,33,29,25,25,25,24,100,79,59,1008,1006,1003,10,10,10,19,11,,0.00,5,Thunderstorm,33<br />
2010-1-12,32,28,24,26,24,23,100,82,62,1008,1005,1002,10,9,1,37,18,74,0.00,6,Rain-Thunderstorm,11<br />
2010-1-13,27,23,21,22,20,18,94,77,61,1012,1010,1008,10,10,6,34,21,47,0.00,7,Thunderstorm,179<br />
2010-1-14,31,26,21,20,18,15,88,66,40,1014,1013,1012,10,10,10,26,13,,0.00,3,,170<br />
2010-1-15,32,26,19,19,17,15,88,59,38,1014,1013,1009,10,10,10,27,13,,0.00,3,,172<br />
2010-1-16,34,28,23,25,22,18,83,68,52,1012,1010,1007,10,9,5,26,14,37,0.00,4,Rain-Thunderstorm,32<br />
2010-1-17,35,29,24,27,24,21,100,77,49,1012,1010,1007,10,9,4,26,11,,0.00,4,Rain-Thunderstorm,39<br />
2010-1-18,36,31,26,26,24,23,89,74,47,1010,1007,1002,10,10,10,34,16,,0.00,4,Thunderstorm,28<br />
2010-1-19,34,28,22,25,22,19,100,72,46,1008,1006,1003,10,9,1,37,26,64,0.00,5,Rain-Thunderstorm,351<br />
2010-1-20,31,26,21,22,20,17,100,73,51,1011,1009,1008,10,10,8,37,13,,0.00,5,Thunderstorm,181<br />
2010-1-21,32,26,19,19,16,12,88,58,29,1013,1011,1009,10,10,10,34,18,40,0.00,1,,175<br />
2010-1-22,32,24,18,19,17,14,88,62,38,1012,1010,1008,10,10,9,19,6,,0.00,2,,167<br />
2010-1-23,33,27,22,22,19,16,88,64,38,1011,1009,1007,10,9,8,13,6,,0.00,4,,144<br />
2010-1-24,35,28,22,22,20,17,94,62,36,1011,1009,1006,10,10,10,14,3,,0.00,2,Thunderstorm,78<br />
2010-1-25,36,29,22,25,22,18,100,65,34,1011,1009,1007,10,10,8,23,8,,0.00,4,Rain-Thunderstorm,91<br />
2010-1-26,35,29,23,22,21,18,88,64,36,1011,1008,1006,10,10,10,14,8,,0.00,5,,81<br />
2010-1-27,35,28,22,25,22,20,94,73,41,1009,1007,1005,10,9,2,37,8,74,0.00,3,Rain-Thunderstorm,132<br />
2010-1-28,33,27,21,23,21,20,100,72,46,1008,1006,1003,10,10,10,10,3,,0.00,3,,74<br />
2010-1-29,36,30,24,23,22,20,89,65,39,1006,1004,1002,10,10,8,23,11,,0.00,2,,43<br />
2010-1-30,37,31,25,25,23,21,83,63,39,1009,1007,1005,10,10,10,34,18,40,0.00,4,,37<br />
2010-1-31,35,29,24,25,23,22,89,68,47,1011,1009,1007,10,10,10,27,16,47,0.00,5,,36<br />
2010-2-1,37,31,26,24,22,19,84,63,35,1011,1009,1006,10,10,10,34,21,47,0.00,6,,18<br />
2010-2-2,37,32,27,23,22,20,74,56,37,1008,1006,1002,10,10,10,37,23,55,0.00,6,,17<br />
2010-2-3,39,33,28,23,21,18,70,50,31,1006,1004,1000,10,10,10,47,26,64,0.00,2,,9<br />
2010-2-4,39,33,28,23,21,20,70,50,33,1010,1005,1003,10,10,10,37,29,64,0.00,2,Thunderstorm,30<br />
2010-2-5,40,34,28,24,22,18,79,49,29,1008,1005,1002,10,10,10,37,23,40,0.00,4,Thunderstorm,17<br />
2010-2-6,40,33,27,23,21,17,79,50,26,1006,1005,1002,10,10,10,55,26,55,0.00,1,,11<br />
2010-2-7,40,33,27,23,22,19,79,53,29,1008,1005,1003,10,10,10,34,19,47,0.00,2,,19<br />
2010-2-8,39,30,21,25,22,18,94,66,35,1010,1007,1004,10,9,3,47,21,74,0.00,7,Rain-Thunderstorm,22<br />
2010-2-9,33,27,20,21,19,18,100,71,43,1009,1005,1001,10,10,8,14,10,,0.00,2,,116<br />
2010-2-10,36,29,23,24,22,18,94,66,34,1006,1004,1002,10,10,7,26,8,,0.00,4,,54<br />
2010-2-11,36,31,26,24,23,20,84,67,41,1009,1007,1004,10,10,10,26,13,,0.00,5,Thunderstorm,76<br />
2010-2-12,37,32,27,24,23,21,84,63,39,1012,1009,1007,10,10,10,26,11,,0.00,4,Thunderstorm,72<br />
2010-2-13,34,29,24,23,22,21,94,68,46,1011,1009,1007,10,10,10,34,21,40,0.00,4,,44<br />
2010-2-14,34,29,25,25,23,21,89,76,46,1011,1008,1005,10,10,8,32,18,40,0.00,4,Rain-Thunderstorm,12<br />
2010-2-15,33,28,23,25,23,22,100,80,55,1009,1007,1003,10,9,1,37,19,55,0.00,4,Rain-Thunderstorm,359<br />
2010-2-16,29,26,23,26,24,22,100,93,79,1009,1007,1006,10,8,1,29,8,,0.00,7,Rain-Thunderstorm,338<br />
2010-2-17,33,28,24,25,23,22,100,82,55,1011,1009,1007,10,8,1,14,5,,0.00,5,Fog-Rain,96<br />
2010-2-18,34,29,24,25,23,21,100,74,49,1012,1009,1007,10,10,10,29,11,37,0.00,3,,71<br />
2010-2-19,35,30,25,24,24,23,89,71,53,1013,1010,1008,10,10,10,34,19,47,0.00,3,,40<br />
2010-2-20,36,32,28,26,24,23,79,67,47,1011,1009,1006,10,10,10,29,19,47,0.00,6,Thunderstorm,42<br />
2010-2-21,34,30,27,26,25,24,89,76,56,1011,1008,1005,10,10,10,19,10,,0.00,7,Thunderstorm,23<br />
2010-2-22,34,30,26,26,24,23,94,73,59,1009,1006,1003,10,10,10,27,14,47,0.00,6,Thunderstorm,15<br />
2010-2-23,36,30,25,25,24,23,94,72,47,1008,1006,1004,10,10,8,37,19,55,0.00,3,Rain-Thunderstorm,21<br />
2010-2-24,27,26,25,25,23,22,100,88,78,1013,1011,1008,10,10,5,34,13,,0.00,7,Rain-Thunderstorm,167<br />
2010-2-25,29,24,20,17,14,12,73,57,35,1017,1014,1012,10,10,10,37,29,55,0.00,6,,170<br />
2010-2-26,27,23,19,21,18,13,83,73,60,1014,1012,1010,10,10,9,27,14,,0.00,7,Rain,172<br />
2010-2-27,25,24,23,24,23,21,100,93,83,1014,1012,1010,10,7,1,23,11,,0.00,8,Rain,166<br />
2010-2-28,31,26,22,23,22,21,100,79,58,1015,1013,1011,10,10,10,32,13,,0.00,5,Rain,170<br />
2010-3-1,33,27,22,24,22,21,94,73,49,1013,1012,1009,10,9,4,14,11,,0.00,4,,103<br />
2010-3-2,33,28,23,23,21,20,89,71,46,1013,1011,1008,10,10,10,34,13,,0.00,1,,73<br />
2010-3-3,34,28,22,24,21,18,94,67,41,1012,1010,1008,10,9,6,34,13,40,0.00,5,Rain-Thunderstorm,63<br />
2010-3-4,34,28,23,26,23,21,100,76,49,1013,1012,1009,10,9,4,27,11,,0.00,6,Rain-Thunderstorm,35<br />
