
KST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2013-1-1,0,-4,-9,-4,-10,-16,82,61,42,1022,1019,1017,19,12,2,26,16,,1.02,8,Snow,-1<br />
2013-1-2,-5,-9,-13,-7,-21,-24,78,31,17,1036,1030,1021,19,18,8,43,19,,0.00,8,Snow,-1<br />
2013-1-3,-9,-13,-17,-21,-23,-26,36,27,16,1039,1038,1036,19,19,19,26,11,,0.00,,,-1<br />
2013-1-4,-6,-11,-15,-19,-21,-23,41,29,15,1037,1033,1030,19,19,18,29,10,,0.00,,,-1<br />
2013-1-5,-2,-7,-12,-9,-14,-19,64,45,31,1030,1027,1024,19,15,8,29,11,,0.00,,,-1<br />
2013-1-6,-2,-6,-9,-11,-13,-17,71,49,22,1028,1026,1025,18,7,3,21,10,,0.00,,,-1<br />
2013-1-7,0,-5,-9,-12,-14,-17,56,39,20,1027,1026,1025,10,9,6,21,8,,0.00,,,-1<br />
2013-1-8,-1,-4,-7,-10,-12,-16,59,44,19,1027,1026,1025,14,11,6,21,8,,0.00,,,-1<br />
2013-1-9,-7,-9,-11,-17,-19,-22,36,27,17,1028,1027,1027,19,16,11,26,16,,0.00,,,-1<br />
2013-1-10,-4,-9,-13,-18,-20,-23,35,25,16,1032,1031,1029,19,19,18,29,11,,0.00,,,-1<br />
2013-1-11,1,-3,-8,-9,-13,-16,42,36,27,1033,1030,1027,19,15,13,21,13,,0.00,,Snow,-1<br />
2013-1-12,4,0,-3,-3,-6,-9,69,57,47,1026,1025,1024,11,6,3,32,14,,0.00,8,Snow,-1<br />
2013-1-13,3,0,-3,-4,-6,-12,80,58,18,1027,1025,1022,5,3,2,14,6,,0.00,,,-1<br />
