
ICT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2000-1-1,23,20,18,19,18,18,100,92,78,1018,1016,1013,5,3,1,11,5,,0.00,4,,105<br />
2000-1-2,24,20,17,19,18,17,100,89,73,1020,1016,1014,4,3,1,14,5,,0.00,3,Fog,266<br />
2000-1-3,24,20,17,19,18,17,100,90,69,1017,1014,1011,4,1,0,14,8,,0.00,3,Fog,121<br />
2000-1-4,22,19,17,20,18,17,100,91,83,1015,1012,1009,7,3,0,21,3,,0.00,5,Fog,61<br />
2000-1-5,24,22,20,21,19,10,100,87,41,1013,1011,1008,7,5,1,18,14,,0.00,6,Fog-Rain,142<br />
2000-1-6,26,23,20,21,21,20,100,85,69,1013,1011,1008,10,7,3,18,8,,0.00,4,,145<br />
2000-1-7,23,21,20,20,20,19,100,92,83,1015,1014,1012,6,4,2,18,10,,0.00,5,,132<br />
2000-1-8,24,21,19,21,21,19,100,92,83,1014,1011,1008,8,5,1,21,14,,0.00,6,Rain,142<br />
2000-1-9,26,23,20,22,21,20,100,92,78,1014,1011,1008,7,5,1,26,13,,0.00,7,Rain,142<br />
2000-1-10,25,22,20,24,21,20,100,93,83,1013,1011,1009,7,5,3,26,18,,0.00,6,Rain,126<br />
2000-1-11,27,23,21,23,22,21,100,92,74,1013,1010,1008,8,5,3,26,18,,0.00,5,,132<br />
2000-1-12,27,24,22,22,21,2,100,84,21,1013,1010,1008,10,7,3,21,16,,0.00,5,,127<br />
2000-1-13,24,22,21,22,21,20,100,93,83,1011,1009,1006,8,5,3,29,19,,0.00,6,,129<br />
