
BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2007-1-1,32,29,27,24,23,23,79,70,59,1015,1014,1012,10,10,10,21,16,,0.00,3,,111<br />
2007-1-2,31,28,25,26,24,23,94,84,66,1015,1014,1013,10,9,2,24,13,,0.00,5,Rain,73<br />
2007-1-3,30,28,25,24,23,22,94,78,66,1015,1013,1012,10,9,4,23,11,,0.00,4,Rain,126<br />
2007-1-4,31,28,25,24,24,23,94,77,66,1014,1013,1012,10,10,4,26,13,,0.00,5,Rain,99<br />
2007-1-5,31,29,27,25,24,23,84,75,66,1013,1012,1011,10,10,10,26,18,,0.00,3,,126<br />
2007-1-6,30,28,26,25,24,23,94,79,70,1013,1012,1011,10,10,10,26,18,,0.00,3,,131<br />
2007-1-7,30,29,28,24,23,23,79,72,66,1015,1013,1011,10,10,10,23,14,,0.00,4,,111<br />
2007-1-8,31,29,28,24,23,22,79,72,62,1014,1012,1011,10,10,10,21,13,,0.00,5,,148<br />
2007-1-9,30,28,26,26,24,24,94,83,74,1013,1012,1010,10,9,4,26,16,,0.00,5,Rain,110<br />
2007-1-10,31,28,26,25,24,23,89,76,70,1014,1012,1010,10,10,5,23,14,,0.00,4,Rain,83<br />
2007-1-11,31,29,28,25,24,24,79,76,70,1013,1012,1010,10,10,10,23,14,,0.00,3,,88<br />
2007-1-12,30,29,28,24,24,23,79,74,66,1013,1011,1010,10,10,10,26,16,,0.00,5,,70<br />
2007-1-13,32,28,25,25,23,22,94,74,55,1012,1011,1009,10,10,10,29,14,,0.00,4,,51<br />
2007-1-14,31,28,25,25,24,23,94,77,66,1013,1011,1010,10,10,10,23,8,,0.00,4,,80<br />
