
AEST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2002-1-1,28,24,20,25,23,20,100,85,70,1007,1005,1003,10,10,10,34,13,,0.00,5,,360<br />
2002-1-2,32,29,26,26,25,24,94,81,66,1005,1003,1001,10,10,10,35,24,,0.00,1,,8<br />
2002-1-3,33,29,25,26,22,15,100,75,34,1012,1006,1002,10,10,10,29,14,42,0.00,2,Fog,92<br />
2002-1-4,28,26,24,23,19,17,83,68,51,1013,1012,1010,10,10,10,21,13,,0.00,4,,67<br />
2002-1-5,30,27,24,25,24,23,94,87,66,1013,1011,1010,10,9,7,24,11,,0.00,6,Rain,15<br />
2002-1-6,30,28,25,24,23,23,94,82,66,1015,1013,1011,10,10,10,23,11,,0.00,6,,351<br />
2002-1-7,32,29,26,24,22,19,89,73,49,1013,1010,1008,10,10,10,32,24,,0.00,5,,1<br />
2002-1-8,35,29,24,24,22,20,89,66,41,1009,1007,1004,10,10,10,34,14,,0.00,5,,337<br />
2002-1-9,33,27,21,22,18,5,89,61,17,1012,1009,1006,10,10,10,26,13,,0.00,1,,157<br />
2002-1-10,29,24,21,19,18,17,83,67,54,1013,1011,1008,10,10,10,23,11,,0.00,2,,92<br />
2002-1-11,29,26,22,24,21,18,88,72,58,1010,1007,1004,10,10,10,26,13,,0.00,3,,47<br />
2002-1-12,32,28,25,27,25,23,94,81,66,1003,1000,996,10,10,10,24,14,,0.00,5,,360<br />
2002-1-13,29,26,23,22,21,19,89,74,58,1004,1002,999,10,10,10,26,18,,0.00,6,,70<br />
2002-1-14,29,24,21,22,19,17,94,70,55,1011,1007,1003,10,10,10,32,16,52,18.80,3,Tornado,136<br />
2002-1-15,28,24,21,18,17,15,78,62,45,1012,1011,1010,10,10,10,19,13,,0.00,2,,121<br />
2002-1-16,28,24,20,19,18,17,94,74,51,1013,1010,1007,10,9,1,32,13,53,0.00,3,Rain-Thunderstorm,96<br />
2002-1-17,27,22,18,18,17,15,94,69,54,1018,1015,1012,10,10,10,23,13,,0.00,2,,138<br />
2002-1-18,27,22,17,16,16,14,88,63,45,1021,1019,1017,10,10,10,21,13,,0.00,2,,143<br />
2002-1-19,27,22,17,16,14,13,88,62,45,1021,1020,1018,10,10,10,21,11,,0.00,1,,144<br />
2002-1-20,27,22,17,17,16,14,94,65,45,1019,1016,1014,10,10,10,23,11,,0.00,2,,95<br />
2002-1-21,28,23,19,19,17,15,88,66,45,1016,1015,1013,10,10,10,23,10,,0.00,2,,41<br />
2002-1-22,30,25,20,20,18,17,94,68,48,1016,1015,1013,10,10,10,23,11,,0.00,1,,29<br />
2002-1-23,29,24,20,20,18,15,94,66,45,1015,1014,1012,10,10,10,23,10,,0.00,3,,69<br />
2002-1-24,29,24,20,20,19,16,88,70,48,1014,1012,1010,10,10,6,27,14,47,0.00,5,Rain,136<br />
2002-1-25,28,24,21,21,19,18,100,76,58,1012,1011,1009,10,10,6,29,18,50,0.00,5,Rain,158<br />
2002-1-26,29,24,20,20,18,16,94,68,48,1011,1010,1008,10,10,10,29,21,50,0.00,3,,151<br />
2002-1-27,29,24,19,19,17,15,83,63,45,1010,1009,1007,10,10,10,29,16,50,0.00,1,,157<br />
2002-1-28,30,24,19,21,18,16,83,66,51,1009,1008,1005,10,10,10,29,18,50,0.00,2,,151<br />
2002-1-29,30,26,21,21,19,18,83,67,58,1010,1008,1006,10,10,10,32,18,50,0.00,3,,157<br />
2002-1-30,31,26,22,22,20,18,83,70,58,1009,1008,1006,10,10,10,27,16,47,0.00,2,,159<br />
2002-1-31,29,24,21,23,21,19,94,73,58,1008,1007,1005,10,10,10,26,11,39,0.00,3,,160<br />
